,Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos,PJ
31,Álvaro Odriozola,es ESP,DF,28-091,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
32,Diego Piñeiro,es ESP,PO,20-030,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
33,Edgar Pujol,es ESP,DF,19-220,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
34,Jacobo Ramón,es ESP,DF,19-068,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
35,Vinicius Tobias,br BRA,DF,20-020,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
36,Theo Zidane,fr FRA,CC,21-301,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
37,Total del equipo,,,28.0,28.0,308,2520.0,28.0,58.0,44.0,102.0,57.0,1.0,4.0,52.0,4.0,52.2,49.3,39.4,88.7,738.0,1494.0,1485.0,2.07,1.57,3.64,2.04,3.61,1.86,1.41,3.27,1.76,3.17,,
38,Total del oponente,,,27.8,28.0,308,2520.0,28.0,17.0,11.0,28.0,16.0,1.0,1.0,77.0,0.0,26.2,25.5,20.5,46.0,424.0,888.0,874.0,0.61,0.39,1.0,0.57,0.96,0.94,0.73,1.67,0.91,1.64,,
39,Paulo Gazzaniga,ar ARG,PO,32-072,,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Partidos,28.0
40,Aleix García,es ESP,CC,26-260,,27,2408.0,26.8,3.0,6.0,9.0,3.0,0.0,0.0,3.0,1.0,1.4,1.4,4.8,6.3,39.0,211.0,34.0,0.11,0.22,0.34,0.11,0.34,0.05,0.18,0.23,0.05,0.23,Partidos,27.0
