,Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos,PJ
202,Aritz Elustondo,es ESP,DF,29-352,9.0,4,492.0,5.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.4,0.6,4.0,16.0,2.0,0.0,0.18,0.18,0.0,0.18,0.03,0.07,0.1,0.03,0.1,Partidos,
203,Jon Aramburu,ve VEN,DF,21-235,6.0,4,429.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Partidos,
204,Álvaro Odriozola,es ESP,DF,28-091,4.0,3,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Partidos,
205,Olasagasti,es ESP,CC,23-211,12.0,2,313.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.3,1.1,5.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.23,0.09,0.32,0.23,0.32,Partidos,
206,Urko González,es ESP,CC,22-360,4.0,2,149.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Partidos,
207,Mohamed Ali Cho,fr FRA,"DL,CC",20-055,11.0,1,249.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,16.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.14,0.04,0.18,0.14,0.18,Partidos,
208,Unai Marrero,es ESP,PO,22-157,2.0,1,142.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
209,Sheraldo Becker,sr SUR,"CC,DL",29-034,5.0,1,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,1.0,8.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.25,0.39,0.64,0.25,0.64,Partidos,
210,Jon Magunacelaya,es ESP,"DL,CC",23-245,4.0,1,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.7,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.21,0.36,0.56,0.21,0.56,Partidos,
211,Alex Sola,es ESP,"DF,CC",24-279,2.0,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
212,Alberto Dadie,es ESP,CC,21-238,1.0,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
213,Gaizka Ayesa,es ESP,PO,22-347,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
214,Bryan Fiabema,no NOR,DL,21-027,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
215,Aitor Fraga,es ESP,PO,21-005,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
216,Jon Karrikaburu,es ESP,DL,21-177,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
217,Pablo Marín,es ESP,CC,20-255,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
218,Jon Martin,es ESP,DF,18-073,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
219,Roberto Navarro,es ESP,CC,21-337,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
220,Diego Rico,es ESP,DF,31-020,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
221,Iñaki Rupérez,es ESP,DF,21-067,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
222,Total del equipo,,,26.4,28.0,308,2520.0,28.0,38.0,27.0,65.0,34.0,4.0,4.0,74.0,1.0,35.3,32.1,23.2,55.3,525.0,1065.0,1053.0,1.36,0.96,2.32,1.21,2.18,1.26,0.83,2.09,1.15,1.97,,
223,Total del oponente,,,28.1,28.0,308,2520.0,28.0,30.0,19.0,49.0,26.0,4.0,4.0,78.0,5.0,30.4,27.4,18.4,45.8,292.0,692.0,685.0,1.07,0.68,1.75,0.93,1.61,1.09,0.66,1.74,0.98,1.64,,
224,Germán Pezzella,ar ARG,DF,32-261,26.0,26,2256.0,25.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.7,1.7,0.3,1.9,5.0,54.0,1.0,0.04,0.0,0.04,0.04,0.04,0.07,0.01,0.08,0.07,0.08,Partidos,
225,Isco,es ESP,CC,31-328,22.0,22,1846.0,20.5,6.0,3.0,9.0,5.0,1.0,1.0,7.0,0.0,6.7,6.0,5.6,11.6,80.0,163.0,108.0,0.29,0.15,0.44,0.24,0.39,0.33,0.27,0.6,0.29,0.56,Partidos,
226,Marc Roca,es ESP,CC,27-109,24.0,22,1816.0,20.2,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,1.1,1.1,1.3,2.5,24.0,119.0,19.0,0.1,0.1,0.2,0.1,0.2,0.06,0.06,0.12,0.06,0.12,Partidos,
227,Rui Silva,pt POR,PO,30-036,19.0,19,1665.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
228,Ayoze Pérez,es ESP,DL,30-229,21.0,19,1503.0,16.7,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,5.3,5.3,3.0,8.3,52.0,43.0,109.0,0.24,0.06,0.3,0.24,0.3,0.32,0.18,0.5,0.32,0.5,Partidos,
229,Héctor Bellerín,es ESP,DF,28-361,19.0,18,1476.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1,1.1,30.0,72.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Partidos,
230,Willian José,br BRA,DL,32-112,24.0,18,1426.0,15.8,8.0,3.0,11.0,8.0,0.0,0.0,0.0,1.0,4.9,4.9,1.5,6.5,6.0,25.0,66.0,0.5,0.19,0.69,0.5,0.69,0.31,0.1,0.41,0.31,0.41,Partidos,
231,Chadi Riad,ma MAR,DF,20-271,17.0,15,1399.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.8,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Partidos,
232,Guido Rodríguez,ar ARG,CC,29-337,16.0,14,1197.0,13.3,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.5,0.5,0.7,1.2,6.0,39.0,5.0,0.15,0.0,0.15,0.15,0.15,0.04,0.05,0.09,0.04,0.09,Partidos,
233,Juan Miranda,es ESP,DF,24-055,16.0,13,1192.0,13.2,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.1,1.1,1.4,2.5,25.0,67.0,56.0,0.0,0.08,0.08,0.0,0.08,0.08,0.11,0.19,0.08,0.19,Partidos,
234,Abner,br BRA,DF,23-292,17.0,13,1164.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.6,0.7,13.0,28.0,54.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Partidos,
235,Assane Diao,es ESP,DL,18-189,17.0,13,1025.0,11.4,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.3,2.3,0.6,2.9,33.0,18.0,95.0,0.18,0.0,0.18,0.18,0.18,0.21,0.05,0.26,0.21,0.26,Partidos,
236,Rodri,es ESP,"DL,CC",23-303,20.0,8,865.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,1.6,35.0,53.0,92.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.16,0.1,0.16,Partidos,
237,Aitor Ruibal,es ESP,"DF,DL",27-358,14.0,8,771.0,8.6,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.8,0.8,1.3,2.1,20.0,44.0,45.0,0.23,0.12,0.35,0.23,0.35,0.09,0.15,0.24,0.09,0.24,Partidos,
238,Sokratis Papastathopoulos,gr GRE,DF,35-279,9.0,8,702.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.0,0.2,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Partidos,
239,Claudio Bravo,cl CHI,PO,40-336,7.0,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Partidos,
240,Johnny Cardoso,us USA,CC,22-176,8.0,7,624.0,6.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.3,0.8,4.0,23.0,2.0,0.14,0.29,0.43,0.14,0.43,0.07,0.04,0.11,0.07,0.11,Partidos,
241,Luiz Henrique,br BRA,DL,23-072,14.0,6,616.0,6.8,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,1.6,2.9,35.0,17.0,58.0,0.0,0.44,0.44,0.0,0.44,0.18,0.24,0.42,0.18,0.42,Partidos,
242,Nabil Fekir,fr FRA,"CC,DL",30-240,10.0,6,583.0,6.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,1.3,3.0,20.0,37.0,48.0,0.0,0.31,0.31,0.0,0.31,0.25,0.21,0.46,0.25,0.46,Partidos,
243,Youssouf Sabaly,sn SEN,DF,31-009,6.0,6,537.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,19.0,26.0,18.0,0.0,0.17,0.17,0.0,0.17,0.01,0.05,0.06,0.01,0.06,Partidos,
244,Sergi Altimira,es ESP,CC,22-202,12.0,6,504.0,5.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.4,9.0,28.0,7.0,0.18,0.0,0.18,0.18,0.18,0.03,0.05,0.08,0.03,0.08,Partidos,
245,Abdessamad Ezzalzouli,ma MAR,DL,22-088,19.0,5,680.0,7.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2,1.1,47.0,20.0,70.0,0.13,0.0,0.13,0.13,0.13,0.13,0.02,0.15,0.13,0.15,Partidos,
246,Pablo Fornals,es ESP,"DL,CC",28-021,6.0,5,450.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,1.2,18.0,39.0,36.0,0.2,0.2,0.4,0.2,0.4,0.03,0.21,0.24,0.03,0.24,Partidos,
247,Andrés Guardado,mx MEX,CC,37-168,12.0,4,447.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,5.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.03,0.06,Partidos,
248,Borja Iglesias,es ESP,DL,31-057,11.0,4,408.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.9,1.5,5.0,12.0,32.0,0.0,0.22,0.22,0.0,0.22,0.13,0.21,0.34,0.13,0.34,Partidos,
249,Luiz Felipe,it ITA,DF,26-358,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.07,0.02,0.07,Partidos,
250,Ezequiel Ávila,ar ARG,DL,30-037,5.0,4,277.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.7,0.7,0.1,0.8,7.0,5.0,30.0,0.32,0.0,0.32,0.32,0.32,0.23,0.02,0.25,0.23,0.25,Partidos,
251,William Carvalho,pt POR,CC,31-342,15.0,3,517.0,5.7,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.7,10.0,43.0,9.0,0.17,0.52,0.7,0.17,0.7,0.05,0.07,0.12,0.05,0.12,Partidos,
252,Marc Bartra,es ESP,DF,33-059,3.0,3,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Partidos,
253,Francisco Barbosa,es ESP,PO,24-312,3.0,2,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
254,Juan Cruz,es ESP,DL,23-324,5.0,0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.13,0.09,0.13,Partidos,
255,Ricardo Visus,es ESP,DF,22-325,2.0,0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Partidos,
256,Pablo Busto,es ESP,DF,18-181,2.0,0,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.41,0.44,0.03,0.44,Partidos,
257,Paul Akouokou,ci CIV,CC,26-085,2.0,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
258,Cédric Bakambu,cd COD,DL,32-338,1.0,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.16,0.24,0.39,0.16,0.39,Partidos,
259,Enrique,es ESP,CC,20-180,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
260,Guilherme Fernandes,pt POR,PO,22-352,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
261,Daniel Guerrero,es ESP,CC,18-232,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
262,Nobel Mendy,fr FRA,DF,19-193,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
263,Xavi Pleguezuelo,es ESP,DF,21-060,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
264,Total del equipo,,,28.4,28.0,308,2520.0,28.0,33.0,24.0,57.0,32.0,1.0,1.0,65.0,3.0,32.6,31.8,25.2,57.0,516.0,1060.0,1049.0,1.18,0.86,2.04,1.14,2.0,1.16,0.9,2.06,1.14,2.04,,
265,Total del oponente,,,27.8,28.0,308,2520.0,28.0,28.0,17.0,45.0,23.0,5.0,6.0,71.0,4.0,37.2,32.4,25.2,57.6,481.0,1066.0,1049.0,1.0,0.61,1.61,0.82,1.43,1.33,0.9,2.23,1.16,2.06,,
266,Giorgi Mamardashvili,ge GEO,PO,23-167,27.0,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
267,José Luis García Vayá,es ESP,CC,25-216,27.0,27,2402.0,26.7,4.0,1.0,5.0,0.0,4.0,5.0,3.0,0.0,4.7,0.7,2.6,3.3,20.0,191.0,36.0,0.15,0.04,0.19,0.0,0.04,0.17,0.1,0.27,0.03,0.12,Partidos,
268,Hugo Duro,es ESP,DL,24-125,27.0,26,2241.0,24.9,12.0,2.0,14.0,12.0,0.0,0.0,2.0,0.0,9.3,9.3,1.1,10.4,18.0,24.0,119.0,0.48,0.08,0.56,0.48,0.56,0.37,0.05,0.42,0.37,0.42,Partidos,
269,Francisco Perez,es ESP,"CC,DL",21-187,27.0,23,1759.0,19.5,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,2.4,3.4,51.0,34.0,128.0,0.05,0.2,0.26,0.05,0.26,0.05,0.12,0.17,0.05,0.17,Partidos,
270,Cristhian Mosquera,co COL,DF,19-261,25.0,22,2085.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.0,0.7,12.0,52.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Partidos,
271,José Luis Gayà,es ESP,DF,28-294,21.0,21,1710.0,19.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,2.5,3.0,37.0,69.0,89.0,0.05,0.11,0.16,0.05,0.16,0.03,0.13,0.16,0.03,0.16,Partidos,
272,Diego López,es ESP,"DL,CC",21-306,25.0,20,1732.0,19.2,3.0,5.0,8.0,3.0,0.0,0.0,2.0,0.0,2.4,2.4,3.7,6.2,58.0,46.0,128.0,0.16,0.26,0.42,0.16,0.42,0.13,0.19,0.32,0.13,0.32,Partidos,
273,Javier Guerra,es ESP,"CC,DL",21-073,25.0,19,1746.0,19.4,4.0,1.0,5.0,4.0,0.0,0.0,3.0,1.0,2.1,2.1,0.9,3.1,37.0,54.0,61.0,0.21,0.05,0.26,0.21,0.26,0.11,0.05,0.16,0.11,0.16,Partidos,
274,Thierry Correia,pt POR,DF,25-005,20.0,17,1431.0,15.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.6,0.6,0.3,0.9,23.0,51.0,35.0,0.0,0.13,0.13,0.0,0.13,0.04,0.02,0.06,0.04,0.06,Partidos,
275,Gabriel Paulista,br BRA,DF,33-109,18.0,16,1398.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.4,0.4,0.2,0.6,2.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,Partidos,
276,Dimitri Foulquier,fr FRA,"DF,CC",30-357,23.0,12,1283.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.7,1.3,29.0,51.0,36.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,Partidos,
277,Mouctar Diakhaby,gn GUI,"DF,CC",27-086,14.0,12,1073.0,11.9,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.7,0.7,0.0,0.8,7.0,29.0,1.0,0.08,0.0,0.08,0.08,0.08,0.06,0.0,0.06,0.06,0.06,Partidos,
278,Cenk Özkacar,tr TUR,DF,23-160,13.0,10,871.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.1,9.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Partidos,
279,Sergi Canós,es ESP,"CC,DL",27-041,18.0,10,769.0,8.5,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,1.4,2.3,22.0,29.0,56.0,0.12,0.23,0.35,0.12,0.35,0.1,0.17,0.27,0.1,0.27,Partidos,
280,Hugo Guillamón,es ESP,CC,24-043,20.0,9,1018.0,11.3,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.2,0.2,0.3,0.5,5.0,48.0,9.0,0.09,0.0,0.09,0.09,0.09,0.02,0.02,0.04,0.02,0.04,Partidos,
281,Roman Yaremchuk,ua UKR,DL,28-108,19.0,8,696.0,7.7,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,2.9,2.9,0.1,3.0,6.0,16.0,32.0,0.39,0.0,0.39,0.39,0.39,0.37,0.01,0.38,0.37,0.38,Partidos,
282,Selim Amallah,ma MAR,"DL,CC",27-120,16.0,7,581.0,6.5,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.4,0.4,0.3,0.7,7.0,21.0,35.0,0.0,0.15,0.15,0.0,0.15,0.06,0.05,0.11,0.06,0.11,Partidos,
283,Domingos André Ribeiro Almeida,pt POR,"DL,CC",23-289,8.0,6,479.0,5.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.8,13.0,23.0,12.0,0.0,0.19,0.19,0.0,0.19,0.03,0.12,0.16,0.03,0.16,Partidos,
284,Jesus Vazquez,es ESP,"DF,CC",21-072,13.0,2,301.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.1,0.9,2.0,6.0,14.0,0.3,0.0,0.3,0.3,0.3,0.24,0.03,0.27,0.24,0.27,Partidos,
285,Yarek Hernandis,es ESP,DF,19-062,9.0,2,285.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Partidos,
286,Pablo Gozalbez,es ESP,"CC,DL",22-319,5.0,1,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Partidos,
287,Peter González,do DOM,"CC,DL",21-233,4.0,0,101.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Partidos,
288,Alberto Marí,es ESP,"DL,CC",22-247,7.0,0,58.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,1.0,3.0,1.0,0.0,1.55,1.55,0.0,1.55,0.22,0.94,1.16,0.22,1.16,Partidos,
289,Hugo González,es ESP,"CC,DL",21-036,7.0,0,54.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,5.0,0.0,1.67,1.67,0.0,1.67,0.03,0.84,0.87,0.03,0.87,Partidos,
290,Mario Dominguez,es ESP,DL,20-033,3.0,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,0.59,0.59,Partidos,
291,César Tárrega,es ESP,DF,22-017,1.0,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
292,Marco Camús,es ESP,CC,22-119,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
293,Cristian,es ESP,PO,25-359,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
294,Jaume Doménech,es ESP,PO,33-130,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
295,Ruben Lendinez,es ESP,DF,21-000,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
296,David Otorbi,es ESP,DL,16-150,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
297,Martín Tejón,es ESP,CC,19-337,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
298,Total del equipo,,,24.8,27.0,297,2430.0,27.0,32.0,23.0,55.0,28.0,4.0,5.0,52.0,4.0,28.4,24.5,18.6,43.1,363.0,816.0,817.0,1.19,0.85,2.04,1.04,1.89,1.05,0.69,1.74,0.91,1.6,,
299,Total del oponente,,,27.8,27.0,297,2430.0,27.0,30.0,23.0,53.0,28.0,2.0,3.0,83.0,5.0,32.0,29.7,23.6,53.3,447.0,1114.0,1101.0,1.11,0.85,1.96,1.04,1.89,1.19,0.88,2.06,1.1,1.97,,
300,Álvaro Vallés,es ESP,PO,26-233,28.0,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
301,Kirian Rodríguez,es ESP,CC,28-009,27.0,26,2311.0,25.7,6.0,2.0,8.0,6.0,0.0,0.0,7.0,0.0,1.5,1.5,1.2,2.7,34.0,217.0,60.0,0.23,0.08,0.31,0.23,0.31,0.06,0.05,0.11,0.06,0.11,Partidos,
302,Mika Màrmol,es ESP,DF,21-256,26.0,26,2298.0,25.5,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.9,1.1,27.0,104.0,7.0,0.0,0.04,0.04,0.0,0.04,0.01,0.04,0.04,0.01,0.04,Partidos,
303,Munir El Haddadi,ma MAR,DL,28-195,28.0,26,2061.0,22.9,3.0,1.0,4.0,3.0,0.0,1.0,3.0,0.0,3.9,3.1,1.3,4.4,22.0,70.0,138.0,0.13,0.04,0.17,0.13,0.17,0.17,0.06,0.23,0.14,0.19,Partidos,
304,Sergi Cardona,es ESP,DF,24-250,27.0,24,2257.0,25.1,1.0,2.0,3.0,1.0,0.0,0.0,9.0,0.0,2.5,2.5,2.3,4.8,51.0,130.0,130.0,0.04,0.08,0.12,0.04,0.12,0.1,0.09,0.19,0.1,0.19,Partidos,
305,Javier Muñoz,es ESP,CC,29-015,27.0,23,2023.0,22.5,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,2.1,2.1,1.3,3.3,20.0,92.0,95.0,0.09,0.13,0.22,0.09,0.22,0.09,0.06,0.15,0.09,0.15,Partidos,
306,Álex Suárez,es ESP,DF,30-362,22.0,21,1785.0,19.8,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.4,0.4,0.2,0.6,12.0,84.0,8.0,0.05,0.0,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03,Partidos,
307,Saúl Coco,gq EQG,DF,25-034,22.0,18,1660.0,18.4,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,7.0,57.0,1.0,0.05,0.0,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05,Partidos,
308,Máximo Perrone,ar ARG,CC,21-067,23.0,15,1275.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.2,0.3,10.0,61.0,15.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,Partidos,
309,Enzo Loiodice,fr FRA,CC,23-108,27.0,14,1375.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.6,1.0,19.0,75.0,59.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Partidos,
