,Jugador,País,Posc,Edad,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos
508,Chris Ramos,es ESP,"DL,CC",27-056,22.0,215.0,380.0,56.6,2732.0,519.0,137.0,212.0,64.6,56.0,104.0,53.8,6.0,13.0,46.2,1,1.5,1.1,-0.5,10.0,11.0,5.0,1.0,23.0,Partidos
509,Fali,es ESP,DF,30-215,21.6,536.0,727.0,73.7,11842.0,4567.0,140.0,159.0,88.1,298.0,345.0,86.4,91.0,202.0,45.0,0,0.1,0.1,-0.1,4.0,43.0,3.0,1.0,54.0,Partidos
510,Javi Hernández,es ESP,DF,25-317,19.5,572.0,819.0,69.8,10093.0,4934.0,268.0,318.0,84.3,229.0,296.0,77.4,62.0,163.0,38.0,2,1.2,1.9,0.8,21.0,52.0,14.0,11.0,60.0,Partidos
511,Iván Alejo,es ESP,CC,29-033,17.4,213.0,420.0,50.7,3777.0,1550.0,99.0,140.0,70.7,61.0,130.0,46.9,37.0,92.0,40.2,2,1.1,2.5,0.9,12.0,16.0,22.0,20.0,27.0,Partidos
512,Roberto Navarro,es ESP,CC,21-337,12.2,252.0,381.0,66.1,3608.0,1239.0,155.0,180.0,86.1,63.0,105.0,60.0,19.0,57.0,33.3,1,1.5,1.4,-0.5,23.0,20.0,14.0,9.0,35.0,Partidos
513,Roger Martí,es ESP,DL,33-071,11.6,149.0,238.0,62.6,1966.0,396.0,95.0,129.0,73.6,42.0,65.0,64.6,5.0,16.0,31.3,2,2.2,1.2,-0.2,10.0,6.0,2.0,0.0,9.0,Partidos
514,Gonzalo Escalante,ar ARG,CC,30-353,13.7,360.0,488.0,73.8,6135.0,1646.0,167.0,203.0,82.3,142.0,183.0,77.6,36.0,67.0,53.7,2,1.4,1.1,0.6,8.0,42.0,6.0,0.0,45.0,Partidos
515,Víctor Chust,es ESP,DF,24-009,12.0,492.0,610.0,80.7,10267.0,4346.0,158.0,176.0,89.8,248.0,273.0,90.8,81.0,143.0,56.6,1,0.2,0.2,0.8,3.0,35.0,2.0,0.0,43.0,Partidos
516,Lucas,br BRA,DF,22-356,13.9,451.0,621.0,72.6,7428.0,3019.0,233.0,264.0,88.3,168.0,229.0,73.4,39.0,95.0,41.1,0,0.9,1.3,-0.9,15.0,28.0,15.0,10.0,38.0,Partidos
517,Rubén Sobrino,es ESP,"CC,DL",31-287,12.3,266.0,371.0,71.7,3538.0,942.0,180.0,209.0,86.1,62.0,93.0,66.7,14.0,23.0,60.9,1,1.8,1.4,-0.8,12.0,24.0,6.0,2.0,28.0,Partidos
518,Maxi Gómez,uy URU,DL,27-213,10.6,103.0,203.0,50.7,1354.0,260.0,60.0,99.0,60.6,27.0,51.0,52.9,5.0,17.0,29.4,0,0.5,0.4,-0.5,8.0,14.0,4.0,2.0,11.0,Partidos
519,Darwin Machís,ve VEN,CC,31-036,8.3,167.0,272.0,61.4,3000.0,945.0,82.0,98.0,83.7,60.0,93.0,64.5,21.0,57.0,36.8,0,0.6,1.0,-0.6,10.0,12.0,6.0,5.0,15.0,Partidos
520,Álex Fernández,es ESP,"CC,DL",31-151,10.0,355.0,431.0,82.4,5922.0,1863.0,177.0,193.0,91.7,133.0,154.0,86.4,32.0,53.0,60.4,0,0.4,1.0,-0.4,6.0,33.0,8.0,4.0,36.0,Partidos
521,Luis Hernández,es ESP,DF,34-335,8.0,257.0,363.0,70.8,5409.0,2776.0,78.0,92.0,84.8,137.0,170.0,80.6,41.0,98.0,41.8,0,0.4,0.4,-0.4,6.0,27.0,1.0,0.0,31.0,Partidos
522,Jorge Meré,es ESP,DF,26-332,7.5,166.0,233.0,71.2,3605.0,1173.0,45.0,54.0,83.3,92.0,106.0,86.8,28.0,66.0,42.4,0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,15.0,Partidos
523,Rominigue Kouamé,ml MLI,CC,27-088,7.6,286.0,329.0,86.9,5002.0,1083.0,134.0,154.0,87.0,122.0,136.0,89.7,26.0,29.0,89.7,0,0.1,0.2,-0.1,2.0,31.0,4.0,1.0,26.0,Partidos
524,Juanmi,es ESP,DL,30-299,4.2,87.0,105.0,82.9,1090.0,101.0,57.0,65.0,87.7,24.0,28.0,85.7,1.0,2.0,50.0,0,0.3,0.3,-0.3,4.0,2.0,2.0,1.0,2.0,Partidos
525,Joseba Zaldúa,es ESP,"DF,CC",31-264,3.6,64.0,99.0,64.6,1082.0,468.0,29.0,33.0,87.9,28.0,42.0,66.7,5.0,17.0,29.4,0,0.0,0.1,0.0,0.0,3.0,1.0,1.0,5.0,Partidos
526,David Gil,es ESP,PO,30-063,3.1,54.0,112.0,48.2,2734.0,2545.0,1.0,1.0,100.0,7.0,7.0,100.0,45.0,103.0,43.7,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Partidos
527,Fede San Emeterio,es ESP,CC,26-364,1.7,43.0,52.0,82.7,818.0,265.0,13.0,15.0,86.7,21.0,23.0,91.3,7.0,8.0,87.5,0,0.1,0.2,-0.1,1.0,3.0,1.0,1.0,4.0,Partidos
528,Mamadou Mbaye,sn SEN,DF,25-260,3.2,47.0,84.0,56.0,996.0,518.0,15.0,21.0,71.4,20.0,29.0,69.0,10.0,28.0,35.7,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,Partidos
529,Sergi Guardiola,es ESP,"DL,CC",32-290,4.1,103.0,151.0,68.2,1538.0,374.0,59.0,73.0,80.8,35.0,48.0,72.9,6.0,14.0,42.9,1,0.7,0.5,0.3,3.0,5.0,1.0,1.0,11.0,Partidos
530,Aiham Ousou,sy SYR,DF,24-065,1.0,32.0,38.0,84.2,610.0,239.0,14.0,16.0,87.5,14.0,16.0,87.5,4.0,4.0,100.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,Partidos
531,Brian Ocampo,uy URU,CC,24-263,1.5,48.0,72.0,66.7,827.0,192.0,27.0,35.0,77.1,8.0,10.0,80.0,10.0,15.0,66.7,0,0.0,0.1,0.0,1.0,3.0,4.0,2.0,3.0,Partidos
532,Álvaro Negredo,es ESP,"DL,CC",38-207,0.6,10.0,22.0,45.5,165.0,9.0,5.0,10.0,50.0,3.0,3.0,100.0,1.0,4.0,25.0,0,0.1,0.1,-0.1,1.0,0.0,1.0,1.0,0.0,Partidos
533,Diadie Samassékou,ml MLI,CC,28-063,0.6,24.0,25.0,96.0,397.0,85.0,16.0,16.0,100.0,4.0,4.0,100.0,4.0,4.0,100.0,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,Partidos
534,Karl Etta,cm CMR,DL,20-073,0.2,2.0,2.0,100.0,15.0,1.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos
535,José Mari,es ESP,"CC,DL",36-099,0.2,16.0,21.0,76.2,322.0,49.0,5.0,5.0,100.0,8.0,9.0,88.9,2.0,4.0,50.0,0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,Partidos
536,Milutin Osmajić,me MNE,CC,24-233,0.1,2.0,3.0,66.7,32.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Partidos
537,Moussa Diakité,ml MLI,CC,20-131,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos
