,Jugador,País,Posc,Edad,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos
0,Federico Valverde,uy URU,CC,25-236,25.4,1542.0,1717.0,89.8,23361.0,6332.0,903.0,947.0,95.4,490.0,545.0,89.9,99.0,147.0,67.3,4,4.5,2.9,-0.5,38.0,195.0,36.0,4.0,197.0,Partidos
1,Antonio Rüdiger,de GER,DF,31-011,23.0,1244.0,1384.0,89.9,23164.0,8169.0,466.0,488.0,95.5,660.0,695.0,95.0,107.0,176.0,60.8,0,0.7,0.7,-0.7,4.0,71.0,9.0,2.0,65.0,Partidos
2,Rodrygo,br BRA,DL,23-065,21.5,731.0,829.0,88.2,8637.0,1590.0,529.0,563.0,94.0,137.0,167.0,82.0,16.0,26.0,61.5,5,3.2,3.2,1.8,37.0,35.0,36.0,4.0,76.0,Partidos
3,Jude Bellingham,eng ENG,"CC,DL",20-259,20.7,1045.0,1193.0,87.6,14954.0,3039.0,670.0,730.0,91.8,291.0,327.0,89.0,53.0,63.0,84.1,3,3.6,3.1,-0.6,37.0,106.0,39.0,1.0,154.0,Partidos
4,Toni Kroos,de GER,CC,34-070,19.1,1864.0,2044.0,91.2,34476.0,12400.0,879.0,907.0,96.9,691.0,734.0,94.1,264.0,352.0,75.0,7,4.1,4.7,2.9,52.0,279.0,19.0,5.0,238.0,Partidos
5,Dani Carvajal,es ESP,DF,32-063,18.3,959.0,1114.0,86.1,15221.0,3514.0,503.0,550.0,91.5,374.0,426.0,87.8,61.0,84.0,72.6,2,2.1,2.7,-0.1,17.0,42.0,22.0,3.0,67.0,Partidos
6,Vinicius Júnior,br BRA,DL,23-246,16.1,376.0,523.0,71.9,5545.0,1131.0,233.0,275.0,84.7,86.0,138.0,62.3,34.0,54.0,63.0,4,2.8,2.6,1.2,22.0,28.0,16.0,1.0,45.0,Partidos
7,Aurélien Tchouaméni,fr FRA,"CC,DF",24-047,17.1,1087.0,1197.0,90.8,17898.0,6070.0,538.0,567.0,94.9,470.0,508.0,92.5,65.0,92.0,70.7,1,0.5,1.1,0.5,8.0,124.0,12.0,4.0,98.0,Partidos
8,Andriy Lunin,ua UKR,PO,25-032,16.0,428.0,482.0,88.8,9127.0,5526.0,107.0,107.0,100.0,253.0,257.0,98.4,65.0,113.0,57.5,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Partidos
9,Ferland Mendy,fr FRA,DF,28-280,14.2,915.0,970.0,94.3,12714.0,3828.0,576.0,591.0,97.5,265.0,287.0,92.3,38.0,44.0,86.4,0,0.8,0.6,-0.8,9.0,54.0,6.0,1.0,69.0,Partidos
10,Eduardo Camavinga,fr FRA,"CC,DF",21-125,14.3,844.0,932.0,90.6,13925.0,3603.0,404.0,429.0,94.2,356.0,384.0,92.7,60.0,75.0,80.0,1,0.8,1.0,0.2,16.0,76.0,10.0,3.0,77.0,Partidos
11,David Alaba,at AUT,DF,31-264,12.8,810.0,904.0,89.6,12977.0,4997.0,447.0,464.0,96.3,297.0,330.0,90.0,49.0,84.0,58.3,1,0.7,0.8,0.3,10.0,56.0,5.0,0.0,51.0,Partidos
12,Nacho,es ESP,DF,34-056,12.9,758.0,821.0,92.3,12705.0,5145.0,358.0,374.0,95.7,345.0,362.0,95.3,45.0,67.0,67.2,0,0.4,0.5,-0.4,4.0,32.0,3.0,1.0,39.0,Partidos
13,Luka Modrić,hr CRO,CC,38-187,12.7,944.0,1095.0,86.2,15659.0,4953.0,507.0,541.0,93.7,296.0,333.0,88.9,108.0,161.0,67.1,4,4.2,3.3,-0.2,42.0,98.0,31.0,4.0,138.0,Partidos
14,Kepa Arrizabalaga,es ESP,PO,29-163,12.0,343.0,401.0,85.5,7789.0,5097.0,82.0,83.0,98.8,201.0,202.0,99.5,60.0,116.0,51.7,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Partidos
15,Fran Garcia,es ESP,DF,24-213,11.4,610.0,722.0,84.5,8821.0,2438.0,379.0,401.0,94.5,198.0,234.0,84.6,23.0,53.0,43.4,4,2.0,1.5,2.0,14.0,34.0,10.0,5.0,51.0,Partidos
16,Brahim Díaz,es ESP,"DL,CC",24-224,11.3,413.0,495.0,83.4,5143.0,1325.0,286.0,307.0,93.2,81.0,104.0,77.9,16.0,31.0,51.6,2,3.6,3.8,-1.6,20.0,24.0,26.0,6.0,44.0,Partidos
17,Joselu,es ESP,DL,33-353,13.4,207.0,280.0,73.9,2658.0,391.0,134.0,170.0,78.8,52.0,70.0,74.3,6.0,9.0,66.7,2,1.5,1.7,0.5,10.0,11.0,2.0,0.0,15.0,Partidos
18,Lucas Vázquez,es ESP,DF,32-257,11.2,691.0,800.0,86.4,9881.0,2490.0,407.0,440.0,92.5,236.0,264.0,89.4,23.0,54.0,42.6,3,3.0,2.7,0.0,23.0,23.0,20.0,5.0,43.0,Partidos
19,Dani Ceballos,es ESP,"CC,DL",27-220,2.6,176.0,204.0,86.3,2435.0,612.0,122.0,131.0,93.1,40.0,49.0,81.6,10.0,15.0,66.7,1,1.2,0.8,-0.2,4.0,18.0,2.0,0.0,19.0,Partidos
20,Éder Militão,br BRA,DF,26-056,0.5,31.0,32.0,96.9,612.0,216.0,11.0,11.0,100.0,17.0,17.0,100.0,3.0,3.0,100.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Partidos
21,Arda Güler,tr TUR,"DL,CC",19-018,0.3,22.0,24.0,91.7,317.0,30.0,13.0,13.0,100.0,7.0,8.0,87.5,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Partidos
22,Nicolás Paz,ar ARG,"CC,DL",19-188,0.3,18.0,24.0,75.0,234.0,92.0,9.0,12.0,75.0,6.0,7.0,85.7,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,Partidos
23,Gonzalo García,es ESP,"DL,CC",19-356,0.2,4.0,7.0,57.1,35.0,7.0,4.0,6.0,66.7,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos
24,Álvaro Muñoz,uy URU,DL,19-244,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos
25,Total del equipo,,,28.0,28.0,16062.0,18194.0,88.3,258288.0,82995.0,8567.0,9107.0,94.1,5849.0,6448.0,90.7,1207.0,1822.0,66.2,44,39.4,37.7,4.6,367.0,1314.0,305.0,49.0,1494.0,
26,Total del oponente,,,27.8,28.0,10287.0,12498.0,82.3,177200.0,64424.0,5015.0,5488.0,91.4,4061.0,4600.0,88.3,975.0,1753.0,55.6,11,20.5,21.0,-9.5,213.0,730.0,172.0,63.0,888.0,
27,Paulo Gazzaniga,ar ARG,PO,32-072,28.0,798.0,1037.0,77.0,20020.0,14429.0,201.0,202.0,99.5,400.0,405.0,98.8,192.0,420.0,45.7,0,0.7,0.0,-0.7,2.0,12.0,2.0,0.0,0.0,Partidos
28,Aleix García,es ESP,CC,26-260,26.8,1926.0,2197.0,87.7,35553.0,10542.0,906.0,958.0,94.6,714.0,765.0,93.3,256.0,395.0,64.8,6,4.8,5.0,1.2,47.0,217.0,22.0,6.0,211.0,Partidos
29,Miguel Gutiérrez,es ESP,"DF,CC",22-231,26.7,1284.0,1498.0,85.7,19815.0,5435.0,692.0,736.0,94.0,470.0,548.0,85.8,80.0,120.0,66.7,4,5.4,5.2,-1.4,31.0,82.0,44.0,14.0,118.0,Partidos
30,Sávio,br BRA,"CC,DL",19-339,25.1,597.0,799.0,74.7,8400.0,1936.0,358.0,408.0,87.7,183.0,247.0,74.1,26.0,54.0,48.1,7,5.3,7.2,1.7,31.0,20.0,43.0,11.0,62.0,Partidos
31,Iván Martín,es ESP,"CC,DL",25-029,21.7,1038.0,1137.0,91.3,15534.0,3119.0,560.0,599.0,93.5,391.0,415.0,94.2,48.0,59.0,81.4,2,1.6,1.8,0.4,22.0,66.0,11.0,1.0,99.0,Partidos
32,Daley Blind,nl NED,DF,34-005,23.0,1582.0,1781.0,88.8,27168.0,11257.0,717.0,749.0,95.7,755.0,811.0,93.1,91.0,163.0,55.8,2,0.7,1.1,1.3,9.0,184.0,20.0,2.0,153.0,Partidos
33,Artem Dovbyk,ua UKR,DL,26-267,19.3,192.0,272.0,70.6,2209.0,315.0,127.0,160.0,79.4,40.0,59.0,67.8,4.0,5.0,80.0,5,3.7,2.6,1.3,19.0,4.0,8.0,0.0,17.0,Partidos
34,Eric García,es ESP,DF,23-065,19.6,1307.0,1451.0,90.1,23726.0,9348.0,502.0,533.0,94.2,679.0,714.0,95.1,109.0,164.0,66.5,0,0.4,0.8,-0.4,6.0,148.0,9.0,0.0,146.0,Partidos
35,Viktor Tsyhankov,ua UKR,"CC,DL",26-120,17.9,518.0,661.0,78.4,7375.0,2046.0,315.0,359.0,87.7,145.0,182.0,79.7,29.0,52.0,55.8,4,4.8,4.7,-0.8,25.0,32.0,34.0,6.0,59.0,Partidos
36,Yan Couto,br BRA,"DF,CC",21-285,19.1,841.0,1071.0,78.5,13063.0,3223.0,471.0,532.0,88.5,304.0,386.0,78.8,50.0,88.0,56.8,7,3.1,2.9,3.9,24.0,54.0,24.0,12.0,78.0,Partidos
37,Yangel Herrera,ve VEN,CC,26-060,16.8,688.0,798.0,86.2,10207.0,2416.0,395.0,428.0,92.3,220.0,261.0,84.3,42.0,61.0,68.9,0,1.3,1.4,-1.3,12.0,55.0,12.0,5.0,70.0,Partidos
38,David López,es ESP,"DF,CC",34-157,15.0,998.0,1083.0,92.2,18209.0,5998.0,334.0,359.0,93.0,591.0,616.0,95.9,57.0,85.0,67.1,0,0.2,0.3,-0.2,3.0,32.0,1.0,0.0,37.0,Partidos
39,Arnau Martinez,es ESP,DF,20-324,11.0,590.0,653.0,90.4,9361.0,2680.0,286.0,301.0,95.0,271.0,291.0,93.1,21.0,37.0,56.8,2,1.3,1.3,0.7,9.0,50.0,7.0,4.0,49.0,Partidos
40,Portu,es ESP,"CC,DL",31-298,8.9,155.0,202.0,76.7,2122.0,462.0,86.0,101.0,85.1,57.0,66.0,86.4,4.0,12.0,33.3,3,1.4,1.1,1.6,9.0,8.0,6.0,1.0,17.0,Partidos
41,Cristhian Stuani,uy URU,DL,37-154,8.1,76.0,106.0,71.7,912.0,115.0,49.0,64.0,76.6,18.0,25.0,72.0,2.0,4.0,50.0,2,1.3,0.2,0.7,8.0,0.0,0.0,0.0,4.0,Partidos
42,Juanpe,es ESP,DF,32-319,6.7,420.0,461.0,91.1,7916.0,2708.0,140.0,146.0,95.9,242.0,255.0,94.9,34.0,53.0,64.2,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,13.0,Partidos
43,Pablo Torre,es ESP,"CC,DL",20-346,5.6,267.0,321.0,83.2,4299.0,1220.0,144.0,163.0,88.3,90.0,102.0,88.2,23.0,33.0,69.7,2,0.8,1.2,1.2,10.0,32.0,10.0,0.0,45.0,Partidos
44,Valery Fernández,es ESP,"CC,DF",24-112,5.0,158.0,188.0,84.0,2066.0,346.0,104.0,110.0,94.5,45.0,58.0,77.6,3.0,6.0,50.0,0,0.6,0.4,-0.6,4.0,4.0,6.0,3.0,9.0,Partidos
45,Jhon Solis,co COL,CC,19-163,2.8,126.0,152.0,82.9,1639.0,394.0,81.0,96.0,84.4,36.0,42.0,85.7,2.0,2.0,100.0,0,0.3,0.2,-0.3,2.0,15.0,1.0,0.0,15.0,Partidos
46,Antal Yaakobishvili,hu HUN,DF,19-246,0.7,37.0,42.0,88.1,715.0,266.0,15.0,17.0,88.2,14.0,14.0,100.0,7.0,10.0,70.0,0,0.3,0.1,-0.3,1.0,1.0,0.0,0.0,0.0,Partidos
47,Ibrahima Kebe,ml MLI,CC,23-225,0.1,5.0,8.0,62.5,67.0,10.0,3.0,6.0,50.0,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos
48,Bernardo Espinosa,co COL,DF,34-247,0.0,7.0,8.0,87.5,141.0,46.0,3.0,3.0,100.0,4.0,4.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos
49,Silvi Clúa,es ESP,CC,19-045,0.0,5.0,5.0,100.0,85.0,41.0,1.0,1.0,100.0,4.0,4.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Partidos
50,Jastin García,es ESP,CC,20-059,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos
51,Total del equipo,,,26.7,28.0,13615.0,15931.0,85.5,230602.0,78352.0,6490.0,7031.0,92.3,5675.0,6272.0,90.5,1080.0,1824.0,59.2,46,37.6,37.7,8.4,274.0,1023.0,260.0,65.0,1202.0,
52,Total del oponente,,,28.0,28.0,9695.0,12113.0,80.0,173424.0,65975.0,4438.0,4967.0,89.3,3964.0,4616.0,85.9,1050.0,1893.0,55.5,23,26.3,28.0,-3.3,277.0,796.0,226.0,78.0,937.0,
53,İlkay Gündoğan,de GER,CC,33-142,25.3,1576.0,1859.0,84.8,25622.0,6805.0,807.0,881.0,91.6,610.0,672.0,90.8,124.0,231.0,53.7,6,8.8,8.3,-2.8,78.0,148.0,37.0,4.0,168.0,Partidos
54,Robert Lewandowski,pl POL,DL,35-206,23.0,302.0,433.0,69.7,4099.0,801.0,184.0,236.0,78.0,86.0,123.0,69.9,13.0,22.0,59.1,6,3.5,1.9,2.5,22.0,19.0,16.0,2.0,46.0,Partidos
55,Jules Koundé,fr FRA,DF,25-123,22.9,1740.0,1933.0,90.0,29421.0,9394.0,820.0,869.0,94.4,778.0,833.0,93.4,117.0,169.0,69.2,2,1.4,1.6,0.6,13.0,183.0,12.0,5.0,160.0,Partidos
56,João Cancelo,pt POR,DF,29-292,20.8,1155.0,1414.0,81.7,18648.0,5100.0,644.0,705.0,91.3,403.0,492.0,81.9,86.0,143.0,60.1,3,4.9,5.2,-1.9,29.0,99.0,29.0,9.0,104.0,Partidos
57,Andreas Christensen,dk DEN,"DF,CC",27-339,17.5,1235.0,1298.0,95.1,21232.0,7438.0,543.0,564.0,96.3,601.0,616.0,97.6,73.0,90.0,81.1,2,1.1,0.7,0.9,6.0,95.0,0.0,0.0,95.0,Partidos
58,Frenkie de Jong,nl NED,CC,26-307,17.7,1524.0,1655.0,92.1,23255.0,7045.0,866.0,899.0,96.3,547.0,596.0,91.8,79.0,103.0,76.7,0,2.2,4.9,-2.2,20.0,187.0,34.0,7.0,166.0,Partidos
59,Marc-André ter Stegen,de GER,PO,31-319,18.0,588.0,653.0,90.0,14007.0,10041.0,135.0,135.0,100.0,298.0,307.0,97.1,153.0,206.0,74.3,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,Partidos
60,Ronald Araújo,uy URU,DF,25-007,17.9,1151.0,1308.0,88.0,21481.0,7905.0,449.0,480.0,93.5,587.0,630.0,93.2,106.0,172.0,61.6,0,0.7,1.4,-0.7,4.0,101.0,6.0,1.0,88.0,Partidos
61,João Félix,pt POR,DL,24-125,13.4,404.0,497.0,81.3,5482.0,1042.0,266.0,294.0,90.5,104.0,132.0,78.8,16.0,32.0,50.0,2,2.8,2.1,-0.8,16.0,21.0,17.0,1.0,52.0,Partidos
62,Alejandro Balde,es ESP,DF,20-148,15.3,694.0,817.0,84.9,9879.0,2231.0,430.0,473.0,90.9,229.0,264.0,86.7,22.0,42.0,52.4,1,1.2,1.5,-0.2,13.0,26.0,20.0,7.0,41.0,Partidos
63,Lamine Yamal,es ESP,DL,16-245,16.4,568.0,724.0,78.5,8098.0,1985.0,356.0,408.0,87.3,170.0,225.0,75.6,26.0,43.0,60.5,3,4.6,4.8,-1.6,24.0,25.0,40.0,13.0,56.0,Partidos
64,Pedri,es ESP,"CC,DL",21-110,12.1,685.0,800.0,85.6,11756.0,2646.0,305.0,349.0,87.4,298.0,323.0,92.3,64.0,79.0,81.0,2,3.8,3.5,-1.8,28.0,52.0,25.0,4.0,93.0,Partidos
65,Raphinha,br BRA,"DL,CC",27-091,10.1,365.0,487.0,74.9,6335.0,1771.0,184.0,221.0,83.3,120.0,147.0,81.6,50.0,87.0,57.5,6,4.5,4.1,1.5,30.0,30.0,27.0,6.0,45.0,Partidos
66,Gavi,es ESP,"CC,DL",19-222,10.5,489.0,541.0,90.4,7119.0,1400.0,297.0,315.0,94.3,146.0,165.0,88.5,28.0,35.0,80.0,1,1.1,1.4,-0.1,11.0,37.0,8.0,2.0,39.0,Partidos
67,Ferrán Torres,es ESP,DL,24-014,10.4,280.0,365.0,76.7,4121.0,901.0,166.0,200.0,83.0,77.0,100.0,77.0,23.0,30.0,76.7,2,2.2,1.5,-0.2,20.0,22.0,15.0,1.0,34.0,Partidos
68,Iñaki Peña,es ESP,PO,25-012,10.0,259.0,297.0,87.2,5660.0,3681.0,76.0,76.0,100.0,145.0,146.0,99.3,37.0,74.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos
69,Oriol Romeu,es ESP,CC,32-172,8.4,596.0,669.0,89.1,9483.0,2241.0,308.0,329.0,93.6,243.0,266.0,91.4,33.0,50.0,66.0,1,1.3,0.8,-0.3,8.0,64.0,8.0,1.0,56.0,Partidos
70,Iñigo Martínez,es ESP,DF,32-302,8.8,611.0,695.0,87.9,11653.0,3990.0,248.0,263.0,94.3,274.0,297.0,92.3,79.0,113.0,69.9,0,0.0,0.3,0.0,0.0,49.0,3.0,1.0,49.0,Partidos
71,Pau Cubarsí,es ESP,DF,17-052,8.1,651.0,717.0,90.8,11870.0,3718.0,244.0,263.0,92.8,348.0,362.0,96.1,54.0,80.0,67.5,0,0.0,0.1,0.0,1.0,35.0,0.0,0.0,31.0,Partidos
72,Fermin López,es ESP,"CC,DL",20-308,8.9,300.0,365.0,82.2,4322.0,847.0,194.0,210.0,92.4,70.0,88.0,79.5,22.0,34.0,64.7,0,0.5,0.7,-0.5,9.0,29.0,9.0,2.0,41.0,Partidos
73,Sergi Roberto,es ESP,"CC,DF",32-036,4.0,199.0,224.0,88.8,2871.0,659.0,123.0,131.0,93.9,59.0,65.0,90.8,12.0,15.0,80.0,1,0.3,0.3,0.7,4.0,20.0,2.0,1.0,16.0,Partidos
74,Marcos Alonso,es ESP,DF,33-077,1.8,122.0,141.0,86.5,1823.0,385.0,66.0,72.0,91.7,46.0,54.0,85.2,4.0,7.0,57.1,0,0.5,0.3,-0.5,4.0,6.0,3.0,1.0,9.0,Partidos
75,Vitor Roque,br BRA,DL,19-015,2.2,30.0,42.0,71.4,383.0,45.0,22.0,26.0,84.6,6.0,7.0,85.7,1.0,1.0,100.0,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,Partidos
76,Héctor Fort,es ESP,DF,17-225,1.1,60.0,67.0,89.6,802.0,173.0,44.0,46.0,95.7,10.0,14.0,71.4,4.0,5.0,80.0,1,0.3,0.2,0.7,2.0,1.0,0.0,0.0,0.0,Partidos
77,Marc Guiu,es ESP,"DL,CC",18-070,0.8,8.0,8.0,100.0,83.0,7.0,3.0,3.0,100.0,3.0,3.0,100.0,0.0,0.0,,0,0.3,0.1,-0.3,1.0,0.0,1.0,0.0,1.0,Partidos
78,Abdessamad Ezzalzouli,ma MAR,"DL,CC",22-088,0.8,23.0,37.0,62.2,289.0,83.0,18.0,23.0,78.3,4.0,8.0,50.0,1.0,4.0,25.0,0,0.1,0.0,-0.1,2.0,0.0,2.0,1.0,1.0,Partidos
79,Eric García,es ESP,DF,23-065,0.6,46.0,48.0,95.8,802.0,308.0,22.0,23.0,95.7,21.0,21.0,100.0,3.0,4.0,75.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,Partidos
80,Ansu Fati,es ESP,"CC,DL",21-135,0.6,24.0,28.0,85.7,322.0,87.0,15.0,15.0,100.0,7.0,9.0,77.8,1.0,1.0,100.0,0,0.0,0.1,0.0,0.0,2.0,1.0,0.0,4.0,Partidos
81,Total del equipo,,,26.7,28.0,15685.0,18122.0,86.6,260918.0,82729.0,7835.0,8509.0,92.1,6290.0,6965.0,90.3,1231.0,1872.0,65.8,39,45.8,46.0,-6.8,346.0,1264.0,315.0,69.0,1402.0,
82,Total del oponente,,,27.6,28.0,7425.0,9926.0,74.8,133225.0,56610.0,3514.0,4050.0,86.8,2797.0,3358.0,83.3,881.0,1845.0,47.8,28,22.2,21.8,5.8,228.0,600.0,197.0,58.0,748.0,
83,Jan Oblak,si SVN,PO,31-067,28.0,561.0,746.0,75.2,14501.0,10678.0,106.0,106.0,100.0,299.0,304.0,98.4,151.0,329.0,45.9,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Partidos
84,Axel Witsel,be BEL,DF,35-062,23.7,1371.0,1497.0,91.6,23519.0,8933.0,597.0,634.0,94.2,664.0,712.0,93.3,86.0,111.0,77.5,0,0.3,0.2,-0.3,2.0,61.0,0.0,0.0,71.0,Partidos
85,Mario Hermoso,es ESP,DF,28-270,22.6,1357.0,1581.0,85.8,23213.0,8507.0,684.0,724.0,94.5,528.0,592.0,89.2,117.0,208.0,56.3,1,0.7,0.9,0.3,14.0,134.0,18.0,6.0,145.0,Partidos
86,Antoine Griezmann,fr FRA,"DL,CC",32-359,21.6,797.0,1030.0,77.4,12450.0,3169.0,452.0,509.0,88.8,221.0,294.0,75.2,79.0,136.0,58.1,6,4.9,4.7,1.1,35.0,67.0,24.0,2.0,91.0,Partidos
87,Koke,es ESP,CC,32-066,18.6,1455.0,1612.0,90.3,23085.0,7403.0,792.0,829.0,95.5,487.0,532.0,91.5,120.0,163.0,73.6,3,1.8,2.1,1.2,14.0,131.0,26.0,1.0,144.0,Partidos
88,Marcos Llorente,es ESP,"CC,DF",29-044,20.8,698.0,882.0,79.1,9712.0,2622.0,431.0,482.0,89.4,209.0,260.0,80.4,26.0,50.0,52.0,3,4.3,3.5,-1.3,19.0,48.0,28.0,10.0,80.0,Partidos
89,Álvaro Morata,es ESP,DL,31-143,18.5,227.0,326.0,69.6,3185.0,581.0,138.0,179.0,77.1,57.0,79.0,72.2,16.0,26.0,61.5,1,0.7,0.7,0.3,10.0,12.0,6.0,1.0,18.0,Partidos
90,Rodrigo De Paul,ar ARG,CC,29-295,16.8,1004.0,1198.0,83.8,16562.0,5112.0,506.0,550.0,92.0,356.0,419.0,85.0,102.0,144.0,70.8,4,4.6,5.1,-0.6,33.0,102.0,50.0,6.0,155.0,Partidos
91,Samuel Lino,br BRA,DF,24-082,15.7,566.0,707.0,80.1,7835.0,1857.0,366.0,413.0,88.6,149.0,187.0,79.7,29.0,44.0,65.9,2,3.4,2.4,-1.4,23.0,26.0,26.0,3.0,57.0,Partidos
92,Nahuel Molina,ar ARG,DF,25-343,16.5,798.0,1077.0,74.1,12069.0,4472.0,481.0,541.0,88.9,237.0,334.0,71.0,54.0,123.0,43.9,3,2.5,1.8,0.5,15.0,43.0,25.0,11.0,56.0,Partidos
93,Stefan Savić,me MNE,DF,33-066,13.1,603.0,712.0,84.7,10575.0,4343.0,250.0,270.0,92.6,292.0,327.0,89.3,48.0,88.0,54.5,0,0.1,0.5,-0.1,1.0,44.0,5.0,1.0,51.0,Partidos
94,Saúl Ñíguez,es ESP,CC,29-114,13.5,487.0,609.0,80.0,6777.0,1570.0,302.0,345.0,87.5,140.0,172.0,81.4,22.0,44.0,50.0,4,3.1,2.0,0.9,13.0,41.0,8.0,5.0,31.0,Partidos
95,Pablo Barrios,es ESP,CC,20-273,12.6,551.0,664.0,83.0,8877.0,2750.0,293.0,335.0,87.5,211.0,241.0,87.6,38.0,55.0,69.1,1,1.6,0.8,-0.6,9.0,63.0,12.0,0.0,74.0,Partidos
96,Rodrigo Riquelme,es ESP,"DF,CC",23-347,11.7,367.0,478.0,76.8,4999.0,1480.0,227.0,263.0,86.3,98.0,125.0,78.4,20.0,40.0,50.0,4,2.7,3.2,1.3,19.0,17.0,21.0,7.0,40.0,Partidos
97,César Azpilicueta,es ESP,DF,34-199,10.6,617.0,729.0,84.6,9083.0,3615.0,356.0,381.0,93.4,209.0,240.0,87.1,32.0,69.0,46.4,1,2.0,1.5,-1.0,9.0,57.0,9.0,0.0,53.0,Partidos
98,José María Giménez,uy URU,DF,29-054,8.7,326.0,389.0,83.8,6442.0,2823.0,114.0,129.0,88.4,168.0,185.0,90.8,41.0,63.0,65.1,0,0.1,0.0,-0.1,2.0,20.0,0.0,0.0,19.0,Partidos
99,Memphis,nl NED,DL,30-030,8.1,157.0,218.0,72.0,2278.0,576.0,98.0,123.0,79.7,42.0,53.0,79.2,11.0,17.0,64.7,1,1.6,1.4,-0.6,11.0,14.0,6.0,0.0,22.0,Partidos
100,Ángel Correa,ar ARG,"DL,CC",29-005,9.8,241.0,323.0,74.6,3109.0,755.0,159.0,190.0,83.7,51.0,64.0,79.7,14.0,31.0,45.2,2,2.1,2.5,-0.1,19.0,20.0,14.0,1.0,40.0,Partidos
101,Reinildo Mandava,mz MOZ,DF,30-053,4.6,225.0,257.0,87.5,3443.0,1441.0,114.0,128.0,89.1,93.0,103.0,90.3,11.0,17.0,64.7,1,0.6,0.5,0.4,3.0,18.0,1.0,1.0,28.0,Partidos
102,Gabriel Paulista,br BRA,DF,33-109,4.0,213.0,245.0,86.9,4103.0,1791.0,67.0,72.0,93.1,130.0,144.0,90.3,15.0,27.0,55.6,0,0.1,0.0,-0.1,2.0,3.0,0.0,0.0,7.0,Partidos
103,Yannick Carrasco,be BEL,DF,30-192,2.5,65.0,88.0,73.9,1021.0,236.0,42.0,49.0,85.7,13.0,20.0,65.0,8.0,12.0,66.7,1,0.2,0.2,0.8,4.0,2.0,3.0,1.0,6.0,Partidos
104,Thomas Lemar,fr FRA,CC,28-123,1.8,71.0,84.0,84.5,1019.0,285.0,41.0,46.0,89.1,25.0,29.0,86.2,2.0,6.0,33.3,0,0.0,0.1,0.0,1.0,10.0,1.0,0.0,13.0,Partidos
105,Çağlar Söyüncü,tr TUR,DF,27-296,1.3,71.0,81.0,87.7,1249.0,407.0,29.0,31.0,93.5,39.0,43.0,90.7,2.0,5.0,40.0,0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,Partidos
106,Arthur Vermeeren,be BEL,CC,19-036,0.9,48.0,61.0,78.7,712.0,95.0,28.0,32.0,87.5,19.0,22.0,86.4,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,Partidos
107,Javi Galán,es ESP,DF,29-116,1.0,45.0,60.0,75.0,666.0,154.0,24.0,28.0,85.7,19.0,24.0,79.2,1.0,5.0,20.0,0,0.1,0.1,-0.1,2.0,0.0,2.0,1.0,4.0,Partidos
108,Salim El Jebari,ma MAR,CC,20-038,0.1,3.0,4.0,75.0,30.0,3.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos
109,Total del equipo,,,29.8,28.0,12924.0,15658.0,82.5,210514.0,75658.0,6700.0,7392.0,90.6,4756.0,5506.0,86.4,1045.0,1816.0,57.5,38,37.4,34.3,0.6,260.0,944.0,286.0,57.0,1215.0,
110,Total del oponente,,,27.6,28.0,11987.0,14656.0,81.8,208907.0,71349.0,5631.0,6241.0,90.2,4972.0,5632.0,88.3,1125.0,2052.0,54.8,22,21.5,24.0,0.5,261.0,987.0,210.0,61.0,1107.0,
