,Jugador,País,Posc,Edad,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
34,Eric García,es ESP,DF,23-065,19.6,1614.0,118.0,622.0,866.0,132.0,17.0,1614.0,4.0,3.0,75.0,0.0,0.0,1074.0,5231.0,3309.0,33.0,24.0,1.0,13.0,5.0,1216.0,8.0,Partidos
35,Viktor Tsyhankov,ua UKR,"CC,DL",26-120,17.9,851.0,23.0,128.0,323.0,407.0,76.0,851.0,42.0,15.0,35.7,21.0,50.0,551.0,3386.0,1554.0,53.0,39.0,24.0,35.0,22.0,635.0,151.0,Partidos
36,Yan Couto,br BRA,"DF,CC",21-285,19.1,1285.0,43.0,295.0,499.0,510.0,65.0,1285.0,83.0,34.0,41.0,36.0,43.4,820.0,7058.0,4098.0,122.0,72.0,32.0,29.0,24.0,848.0,185.0,Partidos
37,Yangel Herrera,ve VEN,CC,26-060,16.8,1025.0,50.0,229.0,577.0,228.0,52.0,1025.0,23.0,17.0,73.9,5.0,21.7,566.0,2650.0,1147.0,19.0,26.0,3.0,32.0,34.0,713.0,54.0,Partidos
38,David López,es ESP,"DF,CC",34-157,15.0,1221.0,183.0,629.0,561.0,37.0,16.0,1221.0,8.0,4.0,50.0,2.0,25.0,777.0,4309.0,2453.0,12.0,8.0,0.0,11.0,2.0,875.0,1.0,Partidos
39,Arnau Martinez,es ESP,DF,20-324,11.0,756.0,65.0,291.0,378.0,90.0,6.0,756.0,5.0,2.0,40.0,3.0,60.0,414.0,2254.0,1322.0,23.0,10.0,1.0,12.0,6.0,504.0,12.0,Partidos
40,Portu,es ESP,"CC,DL",31-298,8.9,282.0,2.0,31.0,119.0,137.0,35.0,282.0,11.0,2.0,18.2,8.0,72.7,178.0,985.0,475.0,18.0,21.0,4.0,17.0,11.0,213.0,62.0,Partidos
41,Cristhian Stuani,uy URU,DL,37-154,8.1,202.0,14.0,30.0,86.0,86.0,42.0,202.0,5.0,1.0,20.0,4.0,80.0,95.0,363.0,113.0,3.0,1.0,3.0,17.0,3.0,128.0,23.0,Partidos
42,Juanpe,es ESP,DF,32-319,6.7,538.0,87.0,309.0,221.0,9.0,5.0,538.0,1.0,1.0,100.0,0.0,0.0,339.0,1855.0,978.0,3.0,1.0,0.0,3.0,1.0,387.0,0.0,Partidos
43,Pablo Torre,es ESP,"CC,DL",20-346,5.6,392.0,9.0,56.0,197.0,141.0,14.0,392.0,16.0,4.0,25.0,9.0,56.3,263.0,1162.0,576.0,13.0,10.0,2.0,10.0,8.0,316.0,27.0,Partidos
