,Jugador,País,Posc,Edad,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
222,Roman Yaremchuk,ua UKR,DL,28-108,7.7,243.0,8.0,17.0,109.0,123.0,24.0,243.0,13.0,5.0,38.5,8.0,61.5,144.0,616.0,224.0,6.0,8.0,2.0,18.0,13.0,176.0,32.0,Partidos
223,Selim Amallah,ma MAR,"DL,CC",27-120,6.5,283.0,7.0,46.0,132.0,110.0,15.0,283.0,41.0,18.0,43.9,15.0,36.6,168.0,929.0,346.0,7.0,13.0,2.0,28.0,15.0,184.0,35.0,Partidos
224,Domingos André Ribeiro Almeida,pt POR,"DL,CC",23-289,5.3,235.0,7.0,31.0,114.0,92.0,8.0,235.0,13.0,7.0,53.8,4.0,30.8,159.0,995.0,432.0,13.0,17.0,3.0,10.0,9.0,182.0,12.0,Partidos
225,Jesus Vazquez,es ESP,"DF,CC",21-072,3.3,158.0,8.0,35.0,45.0,79.0,9.0,158.0,8.0,1.0,12.5,6.0,75.0,76.0,284.0,119.0,2.0,8.0,0.0,7.0,8.0,75.0,14.0,Partidos
226,Yarek Hernandis,es ESP,DF,19-062,3.2,,,,,,,,,,,,,,,,,,,,,,,Partidos
227,Pablo Gozalbez,es ESP,"CC,DL",22-319,1.1,42.0,1.0,9.0,12.0,21.0,3.0,42.0,3.0,0.0,0.0,3.0,100.0,25.0,72.0,22.0,0.0,1.0,1.0,0.0,0.0,29.0,5.0,Partidos
228,Peter González,do DOM,"CC,DL",21-233,1.1,48.0,2.0,6.0,17.0,27.0,2.0,48.0,7.0,4.0,57.1,3.0,42.9,27.0,169.0,48.0,3.0,2.0,0.0,5.0,1.0,24.0,6.0,Partidos
229,Alberto Marí,es ESP,"DL,CC",22-247,0.6,29.0,1.0,4.0,9.0,16.0,4.0,29.0,1.0,1.0,100.0,0.0,0.0,14.0,47.0,30.0,1.0,1.0,1.0,5.0,1.0,15.0,1.0,Partidos
230,Hugo González,es ESP,"CC,DL",21-036,0.6,36.0,0.0,4.0,11.0,21.0,1.0,36.0,1.0,0.0,0.0,0.0,0.0,20.0,85.0,43.0,1.0,1.0,0.0,5.0,1.0,21.0,5.0,Partidos
231,Mario Dominguez,es ESP,DL,20-033,0.3,10.0,0.0,0.0,2.0,8.0,2.0,10.0,0.0,0.0,,0.0,,4.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,9.0,1.0,Partidos
232,César Tárrega,es ESP,DF,22-017,0.1,7.0,2.0,6.0,1.0,0.0,0.0,7.0,0.0,0.0,,0.0,,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Partidos
233,Total del equipo,,,24.8,27.0,14409.0,1556.0,4994.0,6475.0,3099.0,382.0,14404.0,460.0,201.0,43.7,206.0,44.8,7980.0,40818.0,20137.0,363.0,292.0,84.0,408.0,242.0,8629.0,817.0,
234,Total del oponente,,,27.8,27.0,17676.0,1426.0,5507.0,8208.0,4102.0,546.0,17673.0,536.0,229.0,42.7,240.0,44.8,10082.0,50297.0,25104.0,447.0,337.0,103.0,446.0,242.0,11808.0,1101.0,
235,Álvaro Vallés,es ESP,PO,26-233,28.0,1654.0,996.0,1592.0,64.0,0.0,0.0,1654.0,0.0,0.0,,0.0,,1025.0,4074.0,2635.0,0.0,0.0,0.0,1.0,0.0,1075.0,0.0,Partidos
236,Kirian Rodríguez,es ESP,CC,28-009,25.7,2441.0,52.0,513.0,1533.0,409.0,16.0,2441.0,24.0,19.0,79.2,4.0,16.7,1575.0,6228.0,3268.0,34.0,26.0,0.0,41.0,30.0,1989.0,60.0,Partidos
237,Mika Màrmol,es ESP,DF,21-256,25.5,2185.0,299.0,1180.0,947.0,63.0,8.0,2185.0,25.0,16.0,64.0,7.0,28.0,1231.0,5919.0,3802.0,27.0,18.0,1.0,12.0,6.0,1478.0,7.0,Partidos
238,Munir El Haddadi,ma MAR,DL,28-195,22.9,861.0,11.0,93.0,422.0,354.0,58.0,860.0,54.0,18.0,33.3,31.0,57.4,562.0,2700.0,1014.0,22.0,26.0,7.0,47.0,43.0,661.0,138.0,Partidos
239,Sergi Cardona,es ESP,DF,24-250,25.1,2083.0,122.0,687.0,935.0,474.0,56.0,2083.0,30.0,14.0,46.7,12.0,40.0,976.0,4689.0,2605.0,51.0,40.0,4.0,38.0,11.0,1201.0,130.0,Partidos
240,Javier Muñoz,es ESP,CC,29-015,22.5,1212.0,25.0,182.0,697.0,340.0,36.0,1212.0,28.0,10.0,35.7,16.0,57.1,641.0,2752.0,1084.0,20.0,21.0,2.0,36.0,21.0,919.0,95.0,Partidos
241,Álex Suárez,es ESP,DF,30-362,19.8,1254.0,108.0,473.0,699.0,92.0,10.0,1254.0,8.0,5.0,62.5,1.0,12.5,638.0,2866.0,1445.0,12.0,12.0,0.0,10.0,8.0,813.0,8.0,Partidos
242,Saúl Coco,gq EQG,DF,25-034,18.4,1286.0,147.0,653.0,610.0,25.0,10.0,1286.0,9.0,3.0,33.3,3.0,33.3,748.0,3299.0,1747.0,7.0,5.0,0.0,8.0,6.0,860.0,1.0,Partidos
243,Máximo Perrone,ar ARG,CC,21-067,14.2,1216.0,49.0,396.0,719.0,109.0,4.0,1216.0,19.0,9.0,47.4,8.0,42.1,598.0,2248.0,892.0,10.0,7.0,1.0,19.0,14.0,911.0,15.0,Partidos
244,Enzo Loiodice,fr FRA,CC,23-108,15.3,1039.0,26.0,176.0,604.0,266.0,21.0,1039.0,43.0,21.0,48.8,18.0,41.9,581.0,2487.0,1082.0,19.0,19.0,3.0,29.0,27.0,764.0,59.0,Partidos
245,Sandro Ramírez,es ESP,DL,28-249,13.3,600.0,11.0,48.0,222.0,338.0,55.0,600.0,38.0,15.0,39.5,19.0,50.0,370.0,2150.0,920.0,44.0,18.0,21.0,46.0,15.0,448.0,146.0,Partidos
246,Alberto Moleiro,es ESP,"DL,CC",20-166,11.4,573.0,5.0,71.0,254.0,261.0,32.0,573.0,53.0,28.0,52.8,23.0,43.4,391.0,2297.0,1271.0,46.0,32.0,14.0,37.0,15.0,446.0,115.0,Partidos
247,Julian Araujo,mx MEX,DF,22-214,13.5,835.0,68.0,255.0,440.0,147.0,12.0,835.0,14.0,8.0,57.1,5.0,35.7,389.0,1540.0,758.0,22.0,14.0,3.0,28.0,2.0,452.0,37.0,Partidos
248,Marvin,es ESP,"DL,DF",23-255,13.2,676.0,17.0,118.0,282.0,285.0,38.0,676.0,38.0,17.0,44.7,15.0,39.5,397.0,2381.0,1026.0,39.0,25.0,10.0,36.0,16.0,453.0,125.0,Partidos
249,Jonathan Viera,es ESP,"CC,DL",34-145,6.9,565.0,0.0,40.0,331.0,203.0,22.0,563.0,22.0,10.0,45.5,7.0,31.8,379.0,1818.0,993.0,26.0,21.0,5.0,15.0,9.0,481.0,37.0,Partidos
250,Sory Kaba,gn GUI,DL,28-230,6.6,235.0,7.0,18.0,119.0,103.0,32.0,235.0,20.0,11.0,55.0,9.0,45.0,144.0,554.0,205.0,7.0,6.0,3.0,43.0,10.0,190.0,34.0,Partidos
251,Marc Cardona,es ESP,DL,28-250,6.0,251.0,7.0,28.0,119.0,108.0,29.0,250.0,18.0,8.0,44.4,10.0,55.6,160.0,614.0,240.0,7.0,3.0,2.0,19.0,11.0,190.0,58.0,Partidos
252,Francisco Jesús Crespo García,es ESP,DL,27-229,5.4,289.0,3.0,29.0,114.0,148.0,14.0,289.0,29.0,14.0,48.3,14.0,48.3,185.0,1247.0,496.0,17.0,14.0,4.0,17.0,12.0,212.0,60.0,Partidos
253,Daley Sinkgraven,nl NED,DF,28-254,2.9,224.0,9.0,60.0,136.0,29.0,0.0,224.0,2.0,0.0,0.0,2.0,100.0,114.0,493.0,251.0,3.0,1.0,0.0,3.0,1.0,138.0,5.0,Partidos
254,Juan Herzog,es ESP,DF,20-306,2.2,162.0,20.0,117.0,44.0,1.0,1.0,162.0,1.0,1.0,100.0,0.0,0.0,70.0,223.0,60.0,0.0,0.0,0.0,1.0,0.0,108.0,0.0,Partidos
255,Álvaro Lemos,es ESP,DF,30-350,2.2,169.0,7.0,30.0,106.0,35.0,0.0,169.0,2.0,0.0,0.0,2.0,100.0,96.0,438.0,201.0,6.0,7.0,0.0,2.0,0.0,103.0,7.0,Partidos
256,Cristian Herrera,es ESP,"DL,CC",33-001,1.7,107.0,2.0,16.0,54.0,37.0,3.0,107.0,2.0,1.0,50.0,1.0,50.0,70.0,271.0,117.0,2.0,3.0,0.0,6.0,2.0,84.0,14.0,Partidos
257,José Campaña,es ESP,CC,30-288,1.1,110.0,5.0,37.0,65.0,8.0,0.0,110.0,2.0,1.0,50.0,1.0,50.0,72.0,274.0,77.0,0.0,0.0,0.0,2.0,2.0,77.0,0.0,Partidos
258,Eric Curbelo,es ESP,DF,30-060,1.0,66.0,15.0,49.0,17.0,0.0,0.0,66.0,0.0,0.0,,0.0,,36.0,113.0,51.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,Partidos
259,Omenuke Mfulu,cd COD,"CC,DL",29-360,0.9,77.0,10.0,30.0,39.0,8.0,0.0,77.0,1.0,1.0,100.0,0.0,0.0,41.0,144.0,70.0,1.0,1.0,0.0,2.0,0.0,50.0,0.0,Partidos
260,Benito Ramírez,es ESP,"DL,CC",28-247,1.9,129.0,2.0,15.0,51.0,65.0,8.0,129.0,3.0,0.0,0.0,3.0,100.0,77.0,336.0,172.0,5.0,2.0,3.0,3.0,2.0,90.0,33.0,Partidos
261,Iñaki González,es ESP,CC,19-231,0.1,7.0,1.0,3.0,3.0,1.0,0.0,7.0,0.0,0.0,,0.0,,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Partidos
262,Fabio González,es ESP,CC,27-031,0.0,7.0,0.0,1.0,3.0,3.0,0.0,7.0,0.0,0.0,,0.0,,5.0,14.0,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,Partidos
263,Total del equipo,,,26.2,28.0,20313.0,2024.0,6910.0,9629.0,3912.0,465.0,20309.0,485.0,230.0,47.4,211.0,43.5,11573.0,52176.0,26492.0,427.0,322.0,83.0,502.0,263.0,14239.0,1184.0,
264,Total del oponente,,,27.9,28.0,14366.0,1559.0,4599.0,6432.0,3495.0,642.0,14360.0,533.0,259.0,48.6,232.0,43.5,7538.0,42031.0,21126.0,438.0,293.0,143.0,417.0,264.0,8327.0,873.0,
265,David García,es ESP,DF,30-029,24.7,1484.0,163.0,634.0,798.0,59.0,23.0,1484.0,4.0,3.0,75.0,1.0,25.0,728.0,3839.0,2418.0,18.0,10.0,0.0,9.0,2.0,846.0,4.0,Partidos
266,Ante Budimir,hr CRO,DL,32-236,23.7,658.0,20.0,49.0,280.0,335.0,131.0,655.0,29.0,9.0,31.0,19.0,65.5,280.0,1119.0,459.0,20.0,12.0,16.0,76.0,26.0,460.0,87.0,Partidos
267,Sergio Herrera,es ESP,PO,30-283,23.9,917.0,685.0,906.0,14.0,0.0,0.0,917.0,0.0,0.0,,0.0,,494.0,3110.0,1782.0,0.0,0.0,0.0,2.0,0.0,386.0,0.0,Partidos
268,Aimar Oroz,es ESP,CC,22-108,23.1,1155.0,16.0,136.0,583.0,460.0,53.0,1154.0,46.0,24.0,52.2,15.0,32.6,690.0,3799.0,1885.0,49.0,44.0,8.0,55.0,37.0,821.0,113.0,Partidos
269,Jesús Areso,es ESP,DF,24-256,20.6,1185.0,57.0,260.0,475.0,466.0,16.0,1185.0,54.0,29.0,53.7,23.0,42.6,506.0,3018.0,1601.0,48.0,39.0,5.0,39.0,13.0,619.0,122.0,Partidos
270,Catena,es ESP,DF,29-138,19.7,1112.0,137.0,551.0,532.0,39.0,19.0,1112.0,5.0,3.0,60.0,2.0,40.0,585.0,2407.0,1150.0,5.0,1.0,0.0,2.0,3.0,649.0,0.0,Partidos
271,Rubén Peña,es ESP,"DF,DL",32-240,16.6,982.0,43.0,239.0,412.0,344.0,28.0,982.0,56.0,27.0,48.2,24.0,42.9,460.0,2752.0,1313.0,44.0,27.0,7.0,33.0,18.0,515.0,107.0,Partidos
272,Moi Gómez,es ESP,"CC,DL",29-265,17.1,1051.0,15.0,118.0,637.0,307.0,23.0,1051.0,23.0,13.0,56.5,9.0,39.1,595.0,3240.0,1389.0,30.0,16.0,3.0,16.0,6.0,758.0,55.0,Partidos
273,Lucas Torró,es ESP,CC,29-239,15.2,744.0,43.0,183.0,417.0,146.0,21.0,744.0,4.0,3.0,75.0,0.0,0.0,307.0,1320.0,386.0,1.0,5.0,1.0,11.0,9.0,400.0,6.0,Partidos
274,Johan Mojica,co COL,"DF,DL",31-206,15.9,1017.0,39.0,238.0,420.0,370.0,23.0,1017.0,31.0,8.0,25.8,21.0,67.7,503.0,2843.0,1281.0,45.0,35.0,9.0,34.0,7.0,582.0,99.0,Partidos
275,Jon Moncayola,es ESP,CC,25-306,14.7,890.0,20.0,176.0,483.0,233.0,8.0,890.0,8.0,5.0,62.5,3.0,37.5,394.0,1579.0,727.0,9.0,6.0,1.0,15.0,8.0,573.0,34.0,Partidos
276,Juan Cruz Armada,es ESP,DF,31-230,14.6,842.0,51.0,254.0,440.0,156.0,5.0,842.0,9.0,2.0,22.2,5.0,55.6,402.0,1936.0,1028.0,11.0,12.0,0.0,8.0,2.0,466.0,22.0,Partidos
277,Iker Muñoz,es ESP,CC,21-130,11.9,726.0,32.0,140.0,471.0,118.0,18.0,726.0,8.0,2.0,25.0,3.0,37.5,365.0,1538.0,658.0,9.0,12.0,0.0,13.0,4.0,442.0,10.0,Partidos
278,Rubén García,es ESP,DL,30-244,10.6,568.0,7.0,77.0,213.0,280.0,21.0,568.0,14.0,7.0,50.0,4.0,28.6,269.0,1106.0,366.0,7.0,14.0,1.0,16.0,14.0,390.0,76.0,Partidos
279,Ezequiel Ávila,ar ARG,"DL,CC",30-037,9.6,474.0,5.0,41.0,183.0,253.0,28.0,474.0,18.0,5.0,27.8,10.0,55.6,236.0,1037.0,429.0,14.0,16.0,5.0,12.0,1.0,314.0,75.0,Partidos
280,Jorge Herrando,es ESP,DF,23-015,8.4,350.0,50.0,188.0,147.0,15.0,5.0,350.0,0.0,0.0,,0.0,,153.0,637.0,330.0,1.0,2.0,0.0,3.0,1.0,187.0,1.0,Partidos
281,Raúl,es ESP,DL,23-132,8.7,283.0,11.0,23.0,117.0,145.0,42.0,283.0,11.0,4.0,36.4,7.0,63.6,136.0,549.0,216.0,7.0,6.0,3.0,25.0,12.0,212.0,50.0,Partidos
282,Pablo Ibáñez,es ESP,CC,25-176,7.8,396.0,8.0,45.0,191.0,166.0,32.0,396.0,18.0,4.0,22.2,13.0,72.2,201.0,1278.0,533.0,18.0,12.0,3.0,12.0,6.0,251.0,32.0,Partidos
283,José Arnaiz,es ESP,"DL,CC",28-334,6.4,273.0,2.0,26.0,96.0,152.0,16.0,273.0,18.0,8.0,44.4,7.0,38.9,159.0,1052.0,498.0,10.0,11.0,3.0,19.0,15.0,178.0,47.0,Partidos
284,Unai García,es ESP,DF,32-040,4.9,207.0,21.0,103.0,93.0,13.0,6.0,207.0,1.0,0.0,0.0,1.0,100.0,80.0,262.0,92.0,0.0,1.0,0.0,3.0,3.0,106.0,0.0,Partidos
285,Aitor Fernández,es ESP,PO,32-316,4.1,143.0,103.0,137.0,6.0,1.0,1.0,143.0,0.0,0.0,,0.0,,76.0,426.0,306.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,Partidos
286,Kike Barja,es ESP,"DL,CC",26-348,3.4,165.0,5.0,15.0,55.0,98.0,14.0,165.0,22.0,11.0,50.0,8.0,36.4,109.0,712.0,357.0,17.0,8.0,5.0,17.0,7.0,128.0,41.0,Partidos
287,Nacho Vidal,es ESP,"DF,DL",29-050,1.1,62.0,5.0,20.0,21.0,21.0,4.0,62.0,2.0,1.0,50.0,1.0,50.0,25.0,85.0,32.0,0.0,1.0,0.0,1.0,2.0,26.0,4.0,Partidos
288,Darko Brašanac,rs SRB,CC,32-031,0.5,17.0,1.0,1.0,8.0,8.0,1.0,17.0,0.0,0.0,,0.0,,7.0,75.0,50.0,2.0,1.0,0.0,0.0,0.0,13.0,3.0,Partidos
289,Iñigo Arguibide,es ESP,DF,18-330,0.2,8.0,0.0,4.0,3.0,1.0,0.0,8.0,0.0,0.0,,0.0,,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Partidos
290,Total del equipo,,,28.6,28.0,15709.0,1539.0,4564.0,7095.0,4186.0,538.0,15705.0,381.0,168.0,44.1,176.0,46.2,7761.0,39722.0,19286.0,365.0,291.0,70.0,422.0,196.0,9392.0,988.0,
291,Total del oponente,,,27.5,28.0,17121.0,1801.0,5671.0,7864.0,3728.0,533.0,17119.0,440.0,210.0,47.7,172.0,39.1,9566.0,48946.0,25080.0,453.0,354.0,114.0,505.0,216.0,10709.0,1017.0,
292,Filip Jørgensen,dk DEN,PO,21-333,27.0,1044.0,927.0,1043.0,1.0,0.0,0.0,1044.0,1.0,1.0,100.0,0.0,0.0,593.0,3089.0,1790.0,0.0,0.0,0.0,4.0,0.0,491.0,0.0,Partidos
293,Alex Baena,es ESP,"CC,DL",22-238,20.8,1114.0,17.0,151.0,465.0,509.0,74.0,1114.0,39.0,14.0,35.9,22.0,56.4,657.0,3694.0,1841.0,58.0,43.0,17.0,50.0,24.0,793.0,135.0,Partidos
294,Gerard Moreno,es ESP,DL,31-342,21.3,1095.0,31.0,123.0,519.0,465.0,106.0,1093.0,74.0,40.0,54.1,30.0,40.5,661.0,3435.0,1368.0,41.0,35.0,18.0,39.0,46.0,869.0,157.0,Partidos
295,Daniel Parejo,es ESP,CC,34-333,20.9,1505.0,63.0,414.0,864.0,246.0,7.0,1503.0,23.0,13.0,56.5,9.0,39.1,783.0,3202.0,1357.0,8.0,11.0,0.0,13.0,18.0,1084.0,23.0,Partidos
296,Alexander Sørloth,no NOR,DL,28-100,18.6,553.0,31.0,54.0,220.0,283.0,98.0,553.0,57.0,23.0,40.4,33.0,57.9,323.0,2222.0,758.0,32.0,23.0,18.0,73.0,45.0,436.0,103.0,Partidos
297,Raúl Albiol,es ESP,DF,38-192,18.2,1178.0,181.0,687.0,476.0,23.0,13.0,1178.0,0.0,0.0,,0.0,,644.0,3790.0,2209.0,7.0,1.0,0.0,7.0,3.0,795.0,0.0,Partidos
298,Jorge Cuenca,es ESP,DF,24-118,16.6,1073.0,205.0,584.0,443.0,51.0,18.0,1073.0,7.0,4.0,57.1,3.0,42.9,499.0,2589.0,1628.0,7.0,6.0,0.0,6.0,2.0,630.0,7.0,Partidos
299,Étienne Capoue,fr FRA,CC,35-247,14.7,915.0,40.0,227.0,515.0,184.0,20.0,915.0,36.0,19.0,52.8,15.0,41.7,521.0,2467.0,1090.0,19.0,22.0,4.0,29.0,16.0,670.0,25.0,Partidos
300,Alberto Moreno,es ESP,"DF,CC",31-253,13.1,690.0,41.0,216.0,278.0,203.0,19.0,690.0,9.0,5.0,55.6,3.0,33.3,303.0,1623.0,789.0,20.0,12.0,1.0,15.0,3.0,397.0,58.0,Partidos
301,Santi Comesaña,es ESP,CC,27-161,12.5,718.0,35.0,170.0,396.0,159.0,20.0,718.0,18.0,9.0,50.0,9.0,50.0,329.0,1950.0,974.0,15.0,20.0,3.0,15.0,10.0,476.0,28.0,Partidos
302,Alfonso Pedraza,es ESP,DF,27-340,10.6,641.0,38.0,202.0,243.0,203.0,24.0,641.0,25.0,7.0,28.0,17.0,68.0,346.0,2469.0,1243.0,48.0,34.0,9.0,12.0,2.0,379.0,83.0,Partidos
303,Ilias Akhomach,es ESP,"CC,DL",19-333,12.7,560.0,9.0,68.0,207.0,294.0,47.0,560.0,89.0,39.0,43.8,43.0,48.3,359.0,2513.0,1426.0,48.0,31.0,18.0,38.0,26.0,406.0,115.0,Partidos
304,Juan Foyth,ar ARG,DF,26-062,11.8,827.0,69.0,270.0,389.0,175.0,16.0,827.0,27.0,20.0,74.1,6.0,22.2,426.0,2278.0,1192.0,19.0,28.0,3.0,17.0,7.0,494.0,28.0,Partidos
305,Adrià Altimira,es ESP,"DF,CC",22-352,8.6,552.0,38.0,200.0,278.0,82.0,2.0,552.0,16.0,11.0,68.8,4.0,25.0,257.0,1338.0,644.0,10.0,6.0,0.0,7.0,5.0,329.0,15.0,Partidos
306,José Luis Morales,es ESP,"DL,CC",36-235,9.9,276.0,9.0,37.0,119.0,126.0,34.0,276.0,29.0,8.0,27.6,20.0,69.0,167.0,1015.0,561.0,21.0,13.0,13.0,18.0,8.0,195.0,62.0,Partidos
307,Kiko Femenía,es ESP,DF,33-041,9.6,704.0,29.0,243.0,326.0,145.0,5.0,704.0,6.0,3.0,50.0,3.0,50.0,336.0,2127.0,1211.0,29.0,16.0,1.0,11.0,3.0,408.0,30.0,Partidos
308,Aïssa Mandi,dz ALG,DF,32-144,8.6,553.0,95.0,294.0,246.0,16.0,4.0,553.0,0.0,0.0,,0.0,,312.0,1662.0,914.0,4.0,6.0,0.0,1.0,1.0,381.0,3.0,Partidos
309,Yeremi Pino,es ESP,"CC,DL",21-146,5.3,261.0,8.0,57.0,83.0,126.0,22.0,261.0,17.0,9.0,52.9,6.0,35.3,156.0,787.0,333.0,11.0,5.0,8.0,16.0,9.0,166.0,49.0,Partidos
310,Eric Bailly,ci CIV,DF,29-337,6.3,301.0,46.0,187.0,113.0,7.0,2.0,301.0,7.0,6.0,85.7,0.0,0.0,148.0,1033.0,532.0,3.0,2.0,0.0,4.0,1.0,186.0,1.0,Partidos
311,Francis Coquelin,fr FRA,CC,32-306,6.3,314.0,27.0,67.0,185.0,65.0,6.0,314.0,6.0,2.0,33.3,4.0,66.7,127.0,562.0,235.0,2.0,7.0,0.0,6.0,4.0,190.0,11.0,Partidos
312,Matteo Gabbia,it ITA,DF,24-145,5.3,369.0,56.0,201.0,159.0,9.0,2.0,369.0,0.0,0.0,,0.0,,205.0,963.0,555.0,1.0,1.0,0.0,4.0,0.0,244.0,0.0,Partidos
313,Ramón Terrats,es ESP,CC,23-148,6.9,389.0,8.0,53.0,214.0,124.0,10.0,389.0,20.0,9.0,45.0,7.0,35.0,212.0,1200.0,541.0,12.0,10.0,1.0,9.0,11.0,280.0,46.0,Partidos
314,Yerson Mosquera,co COL,DF,22-317,4.2,246.0,44.0,155.0,81.0,10.0,2.0,246.0,0.0,0.0,,0.0,,113.0,672.0,357.0,2.0,3.0,0.0,2.0,1.0,130.0,1.0,Partidos
315,Gonçalo Guedes,pt POR,"DL,CC",27-106,3.8,159.0,1.0,8.0,55.0,97.0,16.0,159.0,5.0,4.0,80.0,1.0,20.0,88.0,561.0,292.0,15.0,4.0,7.0,9.0,3.0,119.0,32.0,Partidos
316,Ben Brereton,cl CHI,"DL,CC",24-331,3.0,109.0,1.0,12.0,35.0,63.0,13.0,109.0,10.0,2.0,20.0,8.0,80.0,75.0,518.0,211.0,6.0,12.0,3.0,5.0,5.0,91.0,35.0,Partidos
317,Carlos Romero,es ESP,DF,22-137,2.7,190.0,14.0,72.0,65.0,53.0,7.0,190.0,6.0,3.0,50.0,3.0,50.0,81.0,509.0,251.0,6.0,3.0,1.0,5.0,2.0,98.0,21.0,Partidos
318,Bertrand Traoré,bf BFA,CC,28-190,1.7,68.0,0.0,7.0,21.0,40.0,3.0,68.0,7.0,2.0,28.6,5.0,71.4,41.0,298.0,173.0,7.0,4.0,1.0,3.0,2.0,50.0,14.0,Partidos
319,Manu Trigueros,es ESP,CC,32-149,2.3,136.0,10.0,33.0,58.0,45.0,5.0,136.0,1.0,0.0,0.0,1.0,100.0,77.0,465.0,124.0,5.0,4.0,2.0,1.0,3.0,98.0,11.0,Partidos
320,Denis Suárez,es ESP,"CC,DL",30-068,1.5,114.0,7.0,21.0,59.0,35.0,5.0,114.0,10.0,5.0,50.0,3.0,30.0,60.0,429.0,269.0,4.0,1.0,1.0,3.0,2.0,79.0,7.0,Partidos
321,Pepe Reina,es ESP,PO,41-196,1.0,37.0,33.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,,0.0,,28.0,166.0,84.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,Partidos
322,Stefan Lekovic,rs SRB,DF,20-065,0.3,16.0,5.0,14.0,2.0,0.0,0.0,16.0,0.0,0.0,,0.0,,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,Partidos
323,Pascu,es ESP,DL,20-340,0.2,6.0,0.0,0.0,3.0,3.0,0.0,6.0,1.0,1.0,100.0,0.0,0.0,6.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,Partidos
324,Total del equipo,,,28.6,28.0,16713.0,2118.0,5907.0,7118.0,3841.0,600.0,16709.0,546.0,259.0,47.4,255.0,46.7,8937.0,49661.0,24954.0,460.0,363.0,129.0,423.0,262.0,11004.0,1101.0,
325,Total del oponente,,,27.8,28.0,16584.0,1523.0,4835.0,7280.0,4650.0,728.0,16580.0,448.0,215.0,48.0,199.0,44.4,9423.0,50893.0,25976.0,547.0,408.0,132.0,387.0,232.0,10828.0,1176.0,
326,David Soria,es ESP,PO,30-345,28.0,1026.0,795.0,1022.0,4.0,0.0,0.0,1026.0,0.0,0.0,,0.0,,470.0,3022.0,1933.0,0.0,1.0,1.0,4.0,0.0,284.0,0.0,Partidos
327,Nemanja Maksimović,rs SRB,CC,29-048,26.4,1016.0,72.0,242.0,552.0,230.0,48.0,1016.0,10.0,3.0,30.0,6.0,60.0,410.0,1917.0,951.0,15.0,20.0,2.0,14.0,4.0,489.0,20.0,Partidos
328,Borja Mayoral,es ESP,DL,26-344,23.9,775.0,16.0,51.0,377.0,352.0,71.0,771.0,43.0,18.0,41.9,22.0,51.2,481.0,2206.0,912.0,27.0,29.0,11.0,69.0,28.0,588.0,100.0,Partidos
329,Gastón Álvarez,uy URU,DF,23-356,21.7,974.0,102.0,377.0,475.0,131.0,20.0,974.0,15.0,7.0,46.7,8.0,53.3,403.0,1806.0,956.0,10.0,9.0,0.0,21.0,4.0,433.0,22.0,Partidos
330,Djené,tg TOG,"DF,CC",32-074,19.8,931.0,72.0,295.0,518.0,131.0,3.0,931.0,23.0,17.0,73.9,2.0,8.7,450.0,2315.0,1071.0,9.0,14.0,0.0,14.0,12.0,457.0,14.0,Partidos
331,Diego Rico,es ESP,DF,31-020,21.6,1393.0,64.0,359.0,682.0,365.0,4.0,1393.0,29.0,9.0,31.0,18.0,62.1,572.0,2300.0,1071.0,20.0,27.0,0.0,24.0,14.0,618.0,60.0,Partidos
332,Mason Greenwood,eng ENG,"CC,DL",22-165,19.6,870.0,5.0,57.0,374.0,458.0,89.0,868.0,80.0,41.0,51.3,28.0,35.0,599.0,5008.0,2827.0,94.0,48.0,55.0,41.0,32.0,689.0,155.0,Partidos
333,Jaime Mata,es ESP,"DL,CC",35-142,14.1,571.0,23.0,93.0,192.0,289.0,49.0,571.0,9.0,4.0,44.4,5.0,55.6,288.0,1090.0,398.0,15.0,14.0,7.0,36.0,14.0,406.0,109.0,Partidos
334,Luis Milla,es ESP,CC,29-159,15.0,917.0,17.0,102.0,600.0,231.0,7.0,917.0,26.0,10.0,38.5,12.0,46.2,394.0,1867.0,832.0,15.0,16.0,0.0,14.0,9.0,490.0,20.0,Partidos
335,Omar Alderete,py PAR,DF,27-079,14.9,759.0,87.0,343.0,381.0,44.0,22.0,759.0,8.0,4.0,50.0,3.0,37.5,356.0,2059.0,1220.0,11.0,8.0,0.0,6.0,4.0,355.0,5.0,Partidos
