,player,GP,90 s,minutes,goals per 90,assists per 90,xG,shots per 90,shots target 90,goal per shot,shot mean dist,completed pass,short completed pass,med completed pass,long completed pass,xA,tackle wit ball rec,% duel won,ball touch per 90,% dribble,% passes received,committed fouls per 90,received fouls per 90,interceptions per 90,loose balls recovered 90,% aerials duels won
66,Ander Barrenetxea,20.0,11.0,989.0,0.27,0.09,2.4,2.37,0.91,0.12,18.8,64.8,80.4,62.1,48.5,0.7,12,33.3,574.0,46.3,419.0,17,16,5,62.0,36.7
67,Beñat Turrientes,19.0,11.9,1067.0,0.0,0.08,0.8,1.35,0.59,0.0,25.1,81.7,89.7,90.2,54.1,0.5,13,45.5,500.0,53.1,333.0,27,25,3,52.0,31.7
68,Arsen Zakharyan,19.0,8.6,773.0,0.0,0.12,1.0,2.56,0.58,0.0,21.6,65.9,83.6,65.6,41.4,1.7,12,50.0,438.0,28.0,293.0,13,8,1,35.0,40.0
69,Olasagasti,12.0,3.5,313.0,0.0,0.0,0.8,2.3,0.0,0.0,17.0,73.9,81.8,81.0,45.5,0.2,12,57.1,205.0,66.7,122.0,6,7,3,34.0,40.0
70,Urko González,4.0,1.7,149.0,0.0,0.0,0.0,0.6,0.0,0.0,11.9,78.8,83.7,90.6,22.2,0.0,1,100.0,103.0,0.0,69.0,1,2,0,13.0,55.6
71,Mohamed Ali Cho,11.0,2.8,249.0,0.0,0.0,0.4,1.08,0.0,0.0,17.4,57.6,71.9,66.7,11.1,0.3,3,28.6,106.0,35.0,68.0,5,6,1,16.0,33.3
72,Sheraldo Becker,5.0,1.6,140.0,0.0,0.0,0.4,2.57,1.29,0.0,18.7,54.4,73.3,44.4,25.0,0.6,0,,68.0,,53.0,1,0,0,9.0,20.0
73,Jon Magunacelaya,4.0,1.3,114.0,0.0,0.0,0.3,2.37,0.0,0.0,14.8,65.9,68.2,64.3,,0.3,3,57.1,60.0,33.3,34.0,2,3,0,7.0,20.0
74,Alex Sola,2.0,0.3,30.0,0.0,0.0,0.0,0.0,0.0,,,75.0,100.0,70.0,,0.0,0,,21.0,,10.0,2,2,1,2.0,100.0
75,Alberto Dadie,1.0,0.3,28.0,0.0,0.0,0.0,0.0,0.0,,,42.9,50.0,100.0,,0.1,1,,14.0,0.0,10.0,4,0,0,2.0,
76,Isco,22.0,20.5,1846.0,0.29,0.15,6.7,2.39,1.02,0.1,18.0,79.3,90.4,83.9,54.5,5.4,19,35.7,1432.0,52.1,1062.0,24,62,8,97.0,26.2
77,Marc Roca,24.0,20.2,1816.0,0.1,0.1,1.1,0.99,0.35,0.1,24.3,83.0,90.0,86.8,59.1,1.7,34,57.1,1305.0,50.0,886.0,46,23,16,140.0,28.6
78,Guido Rodríguez,16.0,13.3,1197.0,0.15,0.0,0.5,0.98,0.45,0.15,21.9,87.2,93.0,89.5,74.4,0.7,13,51.5,782.0,72.7,478.0,17,26,18,100.0,54.5
79,Rodri,20.0,9.6,865.0,0.0,0.0,1.0,1.66,0.42,0.0,17.6,80.4,90.8,80.7,56.1,1.8,8,42.1,561.0,38.6,453.0,4,20,7,44.0,0.0
80,Johnny Cardoso,8.0,6.9,624.0,0.14,0.29,0.5,0.87,0.29,0.17,21.3,85.0,88.1,88.2,72.2,0.8,15,66.7,399.0,60.0,223.0,10,8,18,48.0,65.5
81,Nabil Fekir,10.0,6.5,583.0,0.0,0.31,1.6,2.78,0.46,0.0,19.2,80.5,88.2,88.9,44.4,1.5,6,57.1,425.0,68.8,320.0,10,15,5,25.0,75.0
82,Sergi Altimira,12.0,5.6,504.0,0.18,0.0,0.2,1.07,0.18,0.17,23.8,90.4,93.2,94.7,79.3,0.3,8,50.0,338.0,54.5,237.0,7,6,8,38.0,40.0
83,Pablo Fornals,6.0,5.0,450.0,0.2,0.2,0.2,0.8,0.2,0.25,20.4,75.2,85.9,79.3,53.7,1.2,3,50.0,353.0,50.0,250.0,5,4,9,31.0,45.5
84,Andrés Guardado,12.0,5.0,447.0,0.0,0.0,0.1,1.01,0.0,0.0,24.4,84.9,93.5,88.7,72.4,0.3,12,50.0,346.0,85.7,216.0,10,3,6,37.0,36.4
85,William Carvalho,15.0,5.7,517.0,0.17,0.52,0.3,1.22,0.52,0.14,25.0,87.6,92.0,88.1,72.2,0.5,9,66.7,535.0,30.8,422.0,9,5,5,39.0,62.5
86,Paul Akouokou,2.0,0.3,27.0,0.0,0.0,0.0,0.0,0.0,,,94.1,87.5,100.0,100.0,0.0,3,100.0,26.0,,15.0,1,1,1,0.0,
87,José Luis García Vayá,27.0,26.7,2402.0,0.15,0.04,4.7,0.82,0.11,0.0,34.0,78.3,84.2,84.6,59.5,3.5,45,56.6,1774.0,55.6,1060.0,43,27,31,178.0,55.7
88,Francisco Perez,27.0,19.5,1759.0,0.05,0.2,1.0,0.87,0.1,0.06,18.1,74.7,83.0,74.1,48.4,1.9,17,36.6,736.0,38.5,508.0,29,20,11,95.0,16.7
89,Diego López,25.0,19.2,1732.0,0.16,0.26,2.4,1.3,0.62,0.12,15.6,62.8,70.1,67.7,55.8,2.0,15,22.2,746.0,35.8,496.0,17,24,11,82.0,42.2
90,Javier Guerra,25.0,19.4,1746.0,0.21,0.05,2.1,1.49,0.57,0.14,24.6,73.4,80.6,81.8,46.8,1.7,16,35.0,877.0,51.7,577.0,32,27,10,118.0,31.4
91,Dimitri Foulquier,23.0,14.3,1283.0,0.0,0.0,0.6,0.42,0.07,0.0,16.9,73.6,84.0,82.2,35.8,0.5,16,71.4,873.0,51.6,457.0,20,13,10,79.0,33.3
92,Mouctar Diakhaby,14.0,11.9,1073.0,0.08,0.0,0.7,0.59,0.25,0.14,13.9,87.0,95.0,92.5,56.6,0.1,11,84.6,683.0,80.0,414.0,9,2,11,67.0,65.8
93,Sergi Canós,18.0,8.5,769.0,0.12,0.23,0.8,2.57,1.05,0.05,24.2,62.3,75.0,75.7,31.0,0.9,8,38.5,364.0,38.1,233.0,8,8,7,44.0,69.2
94,Hugo Guillamón,20.0,11.3,1018.0,0.09,0.0,0.2,0.27,0.18,0.33,18.3,79.5,86.2,82.4,61.3,0.3,12,66.7,564.0,100.0,369.0,26,16,9,61.0,52.0
95,Selim Amallah,16.0,6.5,581.0,0.0,0.15,0.4,1.55,0.46,0.0,21.7,73.4,84.4,69.6,50.0,0.3,12,33.3,283.0,43.9,184.0,19,22,10,36.0,40.0
96,Domingos André Ribeiro Almeida,8.0,5.3,479.0,0.0,0.19,0.2,0.94,0.38,0.0,20.9,77.4,92.0,82.8,60.0,0.5,6,50.0,235.0,53.8,182.0,6,12,2,19.0,11.1
97,Jesus Vazquez,13.0,3.3,301.0,0.3,0.0,0.8,1.2,0.3,0.25,16.7,57.9,85.7,53.1,28.6,0.1,3,71.4,158.0,12.5,75.0,4,5,0,21.0,25.0
98,Pablo Gozalbez,5.0,1.1,103.0,0.0,0.0,0.0,0.87,0.0,0.0,30.8,50.0,53.3,66.7,33.3,0.0,0,16.7,42.0,0.0,29.0,6,2,1,6.0,16.7
99,Peter González,4.0,1.1,101.0,0.0,0.0,0.1,3.56,0.89,0.0,23.6,55.6,78.6,50.0,0.0,0.0,1,0.0,48.0,57.1,24.0,2,1,0,7.0,66.7
100,Alberto Marí,7.0,0.6,58.0,0.0,1.55,0.1,1.55,0.0,0.0,5.1,41.2,0.0,71.4,100.0,0.4,1,100.0,29.0,100.0,15.0,5,1,0,2.0,18.2
101,Hugo González,7.0,0.6,54.0,0.0,1.67,0.0,1.67,0.0,0.0,29.8,64.0,81.8,62.5,50.0,0.2,1,,36.0,0.0,21.0,3,2,0,6.0,0.0
102,Kirian Rodríguez,27.0,25.7,2311.0,0.23,0.08,1.5,1.17,0.47,0.2,25.3,88.5,93.0,91.4,68.4,2.5,25,32.1,2441.0,79.2,1989.0,16,32,17,171.0,31.6
103,Javier Muñoz,27.0,22.5,2023.0,0.09,0.13,2.1,1.2,0.36,0.07,21.6,80.3,87.2,86.4,44.8,1.6,16,37.1,1212.0,35.7,919.0,30,12,14,93.0,27.8
104,Máximo Perrone,23.0,14.2,1275.0,0.0,0.0,0.1,0.35,0.07,0.0,24.9,90.2,93.4,91.1,73.3,0.7,19,53.1,1216.0,47.4,911.0,23,11,24,103.0,20.0
105,Enzo Loiodice,27.0,15.3,1375.0,0.0,0.0,0.5,0.92,0.39,0.0,24.7,81.5,88.5,85.8,54.1,1.3,25,37.5,1039.0,48.8,764.0,25,30,11,93.0,52.2
106,Alberto Moleiro,18.0,11.4,1025.0,0.18,0.26,0.6,1.49,0.26,0.12,20.8,77.2,86.0,83.1,42.9,1.5,5,23.8,573.0,52.8,446.0,9,9,6,38.0,16.7
107,Jonathan Viera,9.0,6.9,617.0,0.29,0.15,2.3,1.75,0.58,0.0,24.0,88.9,93.9,89.2,50.0,1.2,3,11.1,565.0,45.5,481.0,3,16,0,28.0,20.0
108,Cristian Herrera,7.0,1.7,155.0,0.58,0.0,0.9,0.58,0.58,1.0,3.8,91.4,96.8,91.7,,0.1,1,50.0,107.0,50.0,84.0,3,2,0,9.0,0.0
109,José Campaña,3.0,1.1,101.0,0.0,0.0,0.0,0.89,0.0,0.0,28.8,83.0,92.9,96.2,36.4,0.0,2,0.0,110.0,50.0,77.0,0,3,1,11.0,100.0
110,Omenuke Mfulu,5.0,0.9,82.0,0.0,0.0,0.0,0.0,0.0,,,88.3,92.9,96.2,0.0,0.0,3,0.0,77.0,100.0,50.0,0,2,2,7.0,42.9
111,Benito Ramírez,13.0,1.9,175.0,0.51,0.0,0.3,3.09,1.03,0.17,21.9,67.0,94.6,60.0,23.8,0.1,2,50.0,129.0,0.0,90.0,2,1,1,12.0,0.0
112,Iñaki González,1.0,0.1,5.0,0.0,0.0,0.0,0.0,0.0,,,100.0,100.0,100.0,,0.0,0,,7.0,,4.0,0,0,0,0.0,
113,Fabio González,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,100.0,100.0,100.0,,0.0,0,,7.0,,6.0,0,0,0,1.0,
114,Aimar Oroz,28.0,23.1,2077.0,0.04,0.04,2.5,0.87,0.17,0.0,18.4,81.3,86.5,87.8,67.2,2.0,25,36.1,1155.0,52.2,821.0,38,40,13,127.0,32.7
115,Moi Gómez,21.0,17.1,1536.0,0.12,0.0,1.3,0.76,0.35,0.15,20.3,80.5,88.7,86.5,59.0,1.2,17,39.1,1051.0,56.5,758.0,26,24,9,100.0,40.9
116,Lucas Torró,20.0,15.2,1371.0,0.0,0.0,1.0,1.44,0.26,0.0,25.1,74.7,80.1,79.3,56.1,0.4,12,33.3,744.0,75.0,400.0,32,14,28,93.0,64.9
117,Jon Moncayola,24.0,14.7,1323.0,0.0,0.14,0.4,0.88,0.27,0.0,24.0,76.0,88.3,81.4,52.9,2.1,15,45.2,890.0,62.5,573.0,19,8,12,69.0,54.2
118,Iker Muñoz,18.0,11.9,1073.0,0.17,0.0,0.6,1.26,0.25,0.13,23.1,74.2,84.3,77.2,53.3,0.3,11,50.0,726.0,25.0,442.0,19,32,6,63.0,57.1
119,Ezequiel Ávila,17.0,9.6,864.0,0.1,0.31,2.0,2.81,0.62,0.04,21.2,62.5,77.0,63.6,54.1,2.7,2,27.3,474.0,27.8,314.0,8,20,4,37.0,33.3
120,Pablo Ibáñez,24.0,7.8,704.0,0.13,0.13,2.1,2.81,0.77,0.05,17.8,75.4,79.5,83.5,45.5,1.0,8,38.5,396.0,22.2,251.0,17,9,5,41.0,44.7
121,José Arnaiz,18.0,6.4,579.0,0.16,0.16,1.4,3.42,1.09,0.05,22.6,74.2,88.3,76.6,51.6,1.5,5,14.3,273.0,44.4,178.0,5,14,3,33.0,42.9
122,Kike Barja,16.0,3.4,303.0,0.0,0.0,0.2,1.19,0.59,0.0,14.1,72.8,88.0,70.6,47.1,0.4,2,37.5,165.0,50.0,128.0,8,4,2,16.0,37.5
123,Darko Brašanac,2.0,0.5,48.0,0.0,0.0,0.0,0.0,0.0,,,60.0,71.4,50.0,50.0,0.0,0,100.0,17.0,,13.0,1,0,0,0.0,50.0
