,player,GP,minutes,goals per 90,assists per 90,xG,shots per 90,shots target 90,completed pass,short completed pass,med completed pass,long completed pass,xA,tackle wit ball rec,% duel won,interceptions per 90,loose balls recovered 90,% aerials duels won
128,Santi Comesaña,19.0,1126,0.16,0.0,1.4,0.96,0.4,86.8,90.6,87.7,67.4,0.9,1.36,44.8,1.44,4.88,52.3
129,Ilias Akhomach,23.0,1139,0.08,0.16,2.1,1.5,0.32,75.9,86.1,72.8,44.4,1.6,1.5,64.3,0.71,4.17,30.0
130,Adrià Altimira,11.0,775,0.0,0.0,0.0,0.12,0.0,83.7,86.5,88.1,73.8,0.2,0.81,37.5,0.58,4.88,22.2
131,José Luis Morales,21.0,892,0.61,0.0,4.7,2.02,0.91,69.9,84.0,63.3,64.3,0.8,0.3,25.0,0.61,3.13,10.0
140,Nemanja Maksimović,27.0,2377,0.15,0.0,3.8,1.1,0.49,80.3,86.9,79.2,54.3,1.3,1.25,57.1,1.48,4.28,57.1
141,Djené,24.0,1780,0.0,0.0,0.1,0.2,0.0,75.7,85.4,80.5,53.3,0.5,0.61,55.6,0.81,6.21,55.1
142,Mason Greenwood,23.0,1762,0.31,0.26,5.2,3.22,1.02,71.1,83.9,75.3,51.6,2.7,0.1,20.0,0.15,4.34,23.5
143,Jaime Mata,25.0,1273,0.28,0.07,3.2,1.48,0.49,64.2,78.7,56.1,34.3,1.3,0.99,43.5,1.06,3.4,50.0
144,Luis Milla,17.0,1348,0.0,0.07,0.3,0.6,0.27,76.4,89.4,78.7,59.4,1.7,1.6,51.6,1.53,7.67,59.5
145,Carles Aleñá,22.0,851,0.11,0.11,1.1,1.48,0.53,76.1,86.5,78.8,62.0,0.9,0.63,37.5,0.32,4.53,35.7
146,Carmona,20.0,751,0.12,0.12,0.4,1.2,0.24,72.7,89.3,64.6,48.0,0.5,0.96,14.3,1.33,5.42,44.4
155,Ander Guevara,27.0,2379,0.04,0.0,0.7,0.61,0.08,75.9,83.5,78.2,61.6,1.3,0.98,48.1,0.45,7.27,51.4
156,Luis Rioja,28.0,2194,0.16,0.16,5.0,1.85,0.49,64.6,80.5,69.4,42.6,4.1,0.74,40.6,0.66,4.8,33.3
157,Jon Guridi,27.0,2016,0.0,0.18,2.4,1.21,0.13,78.0,84.0,84.8,58.9,2.4,0.8,22.2,0.58,4.64,46.1
158,Antonio Blanco,25.0,1752,0.0,0.05,0.8,0.92,0.15,77.3,86.1,81.7,55.7,0.8,1.44,37.3,1.23,6.46,51.7
159,Alex Sola,23.0,1051,0.0,0.17,1.5,2.14,0.43,61.2,83.6,66.4,35.5,1.8,1.2,57.9,0.77,5.64,53.6
160,Kiké,25.0,1005,0.27,0.0,5.6,3.76,1.52,67.0,70.9,70.1,61.5,0.9,0.18,44.4,0.0,3.57,44.4
172,Lucas Ocampos,,2072,0.17,0.09,4.2,2.22,0.87,64.2,76.6,64.8,40.7,2.7,1.26,53.3,0.52,4.91,51.1
173,Djibril Sow,,1450,0.06,0.06,1.5,1.12,0.31,85.9,89.0,90.9,73.1,1.1,1.3,37.5,1.06,4.35,41.9
174,Boubakary Soumaré,,1477,0.0,0.0,0.0,0.06,0.0,89.8,91.1,93.4,81.0,0.3,1.16,46.7,1.04,7.2,65.2
175,Ivan Rakitić,,1425,0.13,0.06,1.3,2.02,0.44,75.0,86.7,80.7,56.0,4.1,1.01,57.9,0.89,7.41,48.0
176,Óliver Torres,,1295,0.0,0.07,0.4,0.49,0.21,81.1,90.7,83.7,51.1,2.4,1.11,38.0,0.35,7.36,31.3
177,Suso,,1220,0.07,0.22,1.2,1.77,0.44,76.4,89.8,77.8,58.6,4.5,0.96,35.7,0.29,5.0,42.9
187,Dani Rodríguez,27.0,1985,0.09,0.18,1.2,1.09,0.18,67.7,83.7,71.5,41.2,3.8,0.95,48.8,0.54,5.52,32.8
188,Samu Costa,27.0,1880,0.05,0.05,1.0,0.91,0.14,76.3,82.7,82.8,65.6,0.8,1.96,47.4,1.44,6.75,64.5
189,Antonio Sánchez,21.0,1143,0.24,0.08,2.5,1.65,0.71,68.2,80.1,77.7,50.0,1.5,0.63,35.7,0.71,7.56,31.6
190,Sergi Darder,26.0,1628,0.0,0.17,1.1,1.05,0.28,71.0,88.2,77.8,49.1,3.8,1.16,38.1,0.83,5.86,41.2
