,Jugador,País,Posc,Edad,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
92,Nahuel Molina,ar ARG,DF,25-340,16.5,29.0,19,12.0,15.0,2.0,18.0,39.0,46.2,21.0,15.0,2.0,13.0,8,37.0,31.0,1.0,Partidos
93,Stefan Savić,me MNE,DF,33-063,13.1,18.0,13,9.0,6.0,3.0,8.0,20.0,40.0,12.0,26.0,14.0,12.0,23,41.0,45.0,1.0,Partidos
94,Saúl Ñíguez,es ESP,CC,29-111,13.5,58.0,34,25.0,28.0,5.0,28.0,43.0,65.1,15.0,35.0,9.0,26.0,13,71.0,50.0,0.0,Partidos
95,Pablo Barrios,es ESP,CC,20-270,12.6,34.0,18,12.0,21.0,1.0,15.0,32.0,46.9,17.0,18.0,1.0,17.0,22,56.0,18.0,2.0,Partidos
96,Rodrigo Riquelme,es ESP,"DF,CC",23-344,11.7,18.0,10,12.0,2.0,4.0,12.0,36.0,33.3,24.0,14.0,0.0,14.0,6,24.0,13.0,0.0,Partidos
97,César Azpilicueta,es ESP,DF,34-196,10.6,20.0,12,11.0,8.0,1.0,10.0,16.0,62.5,6.0,19.0,4.0,15.0,12,32.0,32.0,0.0,Partidos
98,José María Giménez,uy URU,DF,29-051,8.7,13.0,6,7.0,5.0,1.0,4.0,9.0,44.4,5.0,7.0,6.0,1.0,8,21.0,49.0,0.0,Partidos
99,Memphis,nl NED,DL,30-027,8.1,5.0,2,0.0,3.0,2.0,3.0,5.0,60.0,2.0,1.0,0.0,1.0,1,6.0,0.0,0.0,Partidos
100,Ángel Correa,ar ARG,"DL,CC",29-002,9.8,13.0,9,3.0,4.0,6.0,3.0,12.0,25.0,9.0,8.0,0.0,8.0,1,14.0,0.0,0.0,Partidos
101,Reinildo Mandava,mz MOZ,DF,30-050,4.6,15.0,13,8.0,7.0,0.0,10.0,10.0,100.0,0.0,8.0,2.0,6.0,9,24.0,15.0,0.0,Partidos
102,Gabriel Paulista,br BRA,DF,33-106,4.0,6.0,4,3.0,3.0,0.0,2.0,3.0,66.7,1.0,5.0,3.0,2.0,4,10.0,22.0,0.0,Partidos
103,Yannick Carrasco,be BEL,DF,30-189,2.5,4.0,4,3.0,1.0,0.0,2.0,7.0,28.6,5.0,2.0,0.0,2.0,1,5.0,6.0,0.0,Partidos
104,Thomas Lemar,fr FRA,CC,28-120,1.8,3.0,1,2.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,3.0,0.0,0.0,Partidos
105,Çağlar Söyüncü,tr TUR,DF,27-293,1.3,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1,2.0,7.0,0.0,Partidos
106,Arthur Vermeeren,be BEL,CC,19-033,0.9,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,5,6.0,1.0,0.0,Partidos
107,Javi Galán,es ESP,DF,29-113,1.0,5.0,4,2.0,2.0,1.0,4.0,5.0,80.0,1.0,1.0,0.0,1.0,1,6.0,3.0,0.0,Partidos
108,Salim El Jebari,ma MAR,CC,20-035,0.1,1.0,0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,Partidos
109,Total del equipo,,,29.8,28.0,489.0,298,226.0,202.0,61.0,248.0,501.0,49.5,253.0,359.0,94.0,265.0,202,691.0,584.0,6.0,
110,Total del oponente,,,27.6,28.0,412.0,251,196.0,146.0,70.0,176.0,414.0,42.5,238.0,314.0,73.0,241.0,217,629.0,548.0,14.0,
111,Unai Simón,es ESP,PO,26-274,28.0,2.0,1,1.0,1.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,1,3.0,9.0,0.0,Partidos
112,Daniel Vivian,es ESP,DF,24-240,24.7,33.0,23,26.0,7.0,0.0,22.0,35.0,62.9,13.0,43.0,20.0,23.0,21,54.0,82.0,0.0,Partidos
113,Gorka Guruzeta,es ESP,DL,27-181,20.7,27.0,17,4.0,21.0,2.0,7.0,23.0,30.4,16.0,26.0,2.0,24.0,16,43.0,21.0,0.0,Partidos
114,Aitor Paredes,es ESP,DF,23-317,23.7,12.0,9,6.0,6.0,0.0,5.0,11.0,45.5,6.0,20.0,10.0,10.0,22,34.0,84.0,0.0,Partidos
115,Iñaki Williams,gh GHA,DL,29-270,23.6,20.0,14,5.0,7.0,8.0,11.0,26.0,42.3,15.0,34.0,7.0,27.0,12,32.0,23.0,0.0,Partidos
116,Oihan Sancet,es ESP,CC,23-321,18.9,17.0,11,3.0,8.0,6.0,6.0,17.0,35.3,11.0,5.0,1.0,4.0,7,24.0,4.0,0.0,Partidos
117,Nico Williams,es ESP,DL,21-243,18.0,24.0,10,9.0,9.0,6.0,11.0,28.0,39.3,17.0,13.0,2.0,11.0,3,27.0,4.0,0.0,Partidos
118,Iñigo Ruiz de Galarreta,es ESP,CC,30-218,18.2,43.0,27,13.0,23.0,7.0,22.0,42.0,52.4,20.0,14.0,3.0,11.0,10,53.0,16.0,0.0,Partidos
119,Óscar de Marcos,es ESP,DF,34-332,18.5,52.0,36,25.0,21.0,6.0,38.0,61.0,62.3,23.0,22.0,5.0,17.0,10,62.0,27.0,0.0,Partidos
120,Yuri Berchiche,es ESP,DF,34-030,16.7,24.0,19,10.0,11.0,3.0,14.0,24.0,58.3,10.0,18.0,5.0,13.0,17,41.0,49.0,0.0,Partidos
121,Iñigo Lekue,es ESP,DF,30-312,15.0,30.0,14,19.0,8.0,3.0,20.0,42.0,47.6,22.0,17.0,2.0,15.0,8,38.0,35.0,0.0,Partidos
122,Mikel Vesga,es ESP,CC,30-295,13.9,29.0,13,7.0,19.0,3.0,15.0,43.0,34.9,28.0,12.0,4.0,8.0,25,54.0,27.0,1.0,Partidos
123,Álex Berenguer,es ESP,DL,28-251,12.3,16.0,9,6.0,6.0,4.0,3.0,18.0,16.7,15.0,20.0,0.0,20.0,4,20.0,10.0,0.0,Partidos
124,Beñat Prados,es ESP,"CC,DF",23-032,9.8,27.0,16,8.0,14.0,5.0,15.0,33.0,45.5,18.0,17.0,1.0,16.0,11,38.0,20.0,0.0,Partidos
125,Ander Herrera,es ESP,CC,34-210,8.8,38.0,27,9.0,24.0,5.0,17.0,30.0,56.7,13.0,9.0,1.0,8.0,14,52.0,12.0,0.0,Partidos
