,Jugador,País,Posc,Edad,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Partidos
384,Tanguy Nianzou,fr FRA,DF,21-281,2.3,0,1,0,0.0,0.43,0.0,0.0,,12.9,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
385,Lucien Agoume,fr FRA,CC,22-034,1.7,0,1,0,0.0,0.59,0.0,0.0,,26.5,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
386,Hannibal Mejbri,tn TUN,CC,21-053,1.0,0,1,0,0.0,0.99,0.0,0.0,,24.9,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Partidos
387,Yassine Bounou,ma MAR,PO,32-344,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
388,Adnan Januzaj,be BEL,"DL,CC",29-038,2.1,0,6,1,16.7,2.8,0.47,0.0,0.0,16.8,0.0,0,0,0.6,0.6,0.1,-0.6,-0.6,Partidos
389,Diego Iturralde,es ESP,DF,20-333,0.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
390,Alejo Véliz,ar ARG,DL,20-177,0.3,0,1,1,100.0,3.46,3.46,0.0,0.0,9.8,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Partidos
391,Manuel Sebastián,es ESP,CC,19-231,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
392,Jesús Corona,mx MEX,"CC,DF",31-068,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
393,Federico Gattoni,ar ARG,"DF,DL",25-027,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
394,Total del equipo,,,29.4,28.0,33,379,124,32.7,13.54,4.43,0.08,0.26,16.8,13.0,1,1,30.9,30.1,0.07,2.1,1.9,
