,Jugador,País,Posc,Edad,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
356,Antonio Sivera,es ESP,PO,27-216,28.0,2,0,0,0,2,0,0,0,0,0.0,0.0,0,20.0,6.0,1.0,85.7,Partidos
357,Ander Guevara,es ESP,CC,26-251,26.4,6,0,0,42,27,0,8,12,26,1.0,0.0,0,192.0,37.0,35.0,51.4,Partidos
358,Luis Rioja,es ESP,"DL,CC",30-150,24.4,3,0,0,21,18,9,159,16,18,1.0,0.0,0,117.0,10.0,20.0,33.3,Partidos
359,Andoni Gorosabel,es ESP,DF,27-223,25.6,5,0,0,23,31,0,60,21,29,0.0,0.0,0,133.0,21.0,45.0,31.8,Partidos
360,Jon Guridi,es ESP,CC,29-015,22.4,1,0,0,14,22,2,17,13,18,0.0,0.0,0,104.0,35.0,41.0,46.1,Partidos
361,Rafa Marín,es ESP,DF,21-300,20.2,4,0,0,22,12,0,1,19,16,0.0,0.0,1,94.0,47.0,36.0,56.6,Partidos
362,Antonio Blanco,es ESP,CC,23-235,19.5,1,1,0,23,30,0,12,24,28,0.0,0.0,0,126.0,15.0,14.0,51.7,Partidos
363,Abdel Abqar,ma MAR,DF,25-004,18.2,7,0,0,26,19,1,1,15,9,0.0,2.0,1,82.0,32.0,24.0,57.1,Partidos
364,Javi López,es ESP,DF,22-073,18.8,2,0,0,20,16,1,82,4,8,0.0,1.0,0,86.0,24.0,17.0,58.5,Partidos
365,Samuel Omorodion,es ESP,DL,19-314,17.1,4,0,0,22,22,12,2,1,3,1.0,0.0,0,40.0,39.0,65.0,37.5,Partidos
366,Rubén Duarte,es ESP,DF,28-148,16.0,5,0,0,24,22,0,56,20,19,0.0,0.0,0,82.0,18.0,24.0,42.9,Partidos
367,Alex Sola,es ESP,"DL,CC",24-279,11.7,2,0,0,10,21,9,67,9,14,0.0,1.0,0,66.0,15.0,13.0,53.6,Partidos
368,Aleksandar Sedlar,rs SRB,DF,32-092,10.5,2,0,0,14,4,1,0,13,10,0.0,1.0,0,49.0,17.0,18.0,48.6,Partidos
369,Kiké,es ESP,"DL,CC",34-110,11.2,3,0,0,16,30,6,6,0,2,2.0,0.0,0,40.0,36.0,45.0,44.4,Partidos
370,Abderrahman Rebbach,dz ALG,"DL,CC",25-216,7.0,1,0,0,12,8,2,55,3,4,0.0,0.0,0,29.0,6.0,13.0,31.6,Partidos
371,Ianis Hagi,ro ROU,"CC,DL",25-144,6.4,2,0,0,7,17,1,47,2,8,0.0,0.0,0,16.0,7.0,7.0,50.0,Partidos
372,Carlos Benavídez,uy URU,CC,25-350,7.4,2,0,0,26,6,1,3,14,19,0.0,2.0,0,44.0,25.0,24.0,51.0,Partidos
373,Nahuel Tenaglia,ar ARG,DF,28-022,6.2,2,0,0,8,5,2,6,8,10,0.0,0.0,0,21.0,15.0,13.0,53.6,Partidos
374,Carlos Vicente,es ESP,"DL,CC",24-326,5.4,1,0,0,7,12,4,37,2,3,0.0,0.0,0,18.0,10.0,15.0,40.0,Partidos
375,Xeber,es ESP,"DL,CC",26-262,3.0,1,0,0,9,0,1,14,1,4,0.0,0.0,0,16.0,2.0,4.0,33.3,Partidos
376,Miguel,es ESP,"DL,CC",24-193,0.7,0,0,0,2,3,0,0,0,0,0.0,0.0,0,3.0,1.0,2.0,33.3,Partidos
377,Giuliano Simeone,ar ARG,DL,21-087,0.8,0,0,0,1,0,0,1,0,1,0.0,0.0,0,5.0,0.0,3.0,0.0,Partidos
378,Mamadou Sylla,sn SEN,"DL,CC",29-360,0.2,0,0,0,1,2,0,0,0,0,0.0,0.0,0,1.0,3.0,3.0,50.0,Partidos
379,Jon Karrikaburu,es ESP,"CC,DL",21-177,0.2,0,0,0,1,0,1,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,Partidos
380,Tomás Mendes,es ESP,CC,19-114,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,Partidos
381,Unai Ropero,es ESP,CC,22-115,0.1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
382,Joaquín Panichelli,ar ARG,DL,21-159,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
383,Victor Parada,es ESP,"DL,CC",21-345,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,,Partidos
384,Total del equipo,,,26.4,28.0,56,1,0,352,329,53,634,197,250,5.0,7.0,2,1388.0,421.0,482.0,46.6,
385,Total del oponente,,,28.1,28.0,77,6,2,353,332,40,542,170,259,6.0,5.0,3,1339.0,479.0,421.0,53.2,
386,Lucas Ocampos,ar ARG,"DL,CC",29-247,23.0,4,0,0,25,53,7,97,12,29,0.0,0.0,0,113.0,48.0,46.0,51.1,Partidos
387,Loïc Bade,fr FRA,DF,23-338,18.0,3,1,0,18,6,1,2,27,28,0.0,0.0,0,109.0,58.0,25.0,69.9,Partidos
388,Youssef En-Nesyri,ma MAR,DL,26-287,19.0,3,0,0,15,19,19,3,4,5,0.0,0.0,0,22.0,53.0,69.0,43.4,Partidos
389,Sergio Ramos,es ESP,DF,37-350,18.0,5,1,0,18,19,7,1,29,19,0.0,1.0,1,100.0,54.0,33.0,62.1,Partidos
390,Djibril Sow,ch SUI,CC,27-037,16.1,6,0,0,27,19,2,5,17,21,0.0,0.0,0,70.0,13.0,18.0,41.9,Partidos
391,Jesús Navas,es ESP,DF,38-114,16.0,4,1,0,10,8,0,96,19,21,0.0,1.0,0,83.0,10.0,13.0,43.5,Partidos
392,Boubakary Soumaré,fr FRA,CC,25-016,16.4,6,0,0,26,17,0,1,17,19,0.0,0.0,0,118.0,15.0,8.0,65.2,Partidos
393,Ivan Rakitić,hr CRO,CC,36-004,15.8,6,0,0,16,19,1,131,14,16,0.0,0.0,0,117.0,12.0,13.0,48.0,Partidos
394,Nemanja Gudelj,rs SRB,DF,32-119,15.5,6,0,0,24,8,0,2,20,14,0.0,0.0,0,66.0,31.0,19.0,62.0,Partidos
395,Óliver Torres,es ESP,CC,29-125,14.4,3,0,0,22,21,6,39,5,16,0.0,0.0,0,106.0,10.0,22.0,31.3,Partidos
396,Ørjan Nyland,no NOR,PO,33-186,14.0,0,0,0,0,2,0,0,0,0,0.0,0.0,0,18.0,5.0,0.0,100.0,Partidos
397,Adrià Pedrosa,es ESP,DF,25-306,16.4,1,0,0,5,30,1,89,14,22,0.0,0.0,0,89.0,10.0,20.0,33.3,Partidos
398,Suso,es ESP,"CC,DL",30-116,13.6,4,1,0,16,27,2,118,4,13,0.0,0.0,0,68.0,6.0,8.0,42.9,Partidos
399,Marko Dmitrović,rs SRB,PO,32-050,13.0,1,0,0,0,1,0,0,1,1,0.0,0.0,1,13.0,2.0,0.0,100.0,Partidos
400,Kike Salas,es ESP,DF,21-326,10.1,3,0,0,17,7,1,3,15,17,0.0,0.0,0,56.0,41.0,21.0,66.1,Partidos
401,Marcos Acuña,ar ARG,DF,32-138,8.1,3,0,0,6,9,1,43,4,12,0.0,0.0,0,59.0,10.0,5.0,66.7,Partidos
402,Juanlu Sánchez,es ESP,DF,20-212,11.3,2,0,0,9,21,1,52,10,31,0.0,2.0,0,58.0,13.0,12.0,52.0,Partidos
403,Dodi Lukebakio,be BEL,DL,26-172,8.4,0,0,0,14,15,3,29,2,2,0.0,0.0,0,22.0,9.0,8.0,52.9,Partidos
404,Isaac Bernal,es ESP,DL,23-301,7.7,1,0,0,19,10,5,10,0,1,,,0,,,,,Partidos
405,Fernando,br BRA,CC,36-233,5.1,0,0,0,6,3,0,4,7,8,0.0,0.0,0,35.0,10.0,8.0,55.6,Partidos
406,Érik Lamela,ar ARG,"DL,CC",32-010,4.2,3,0,0,15,3,3,10,1,11,0.0,0.0,0,19.0,3.0,5.0,37.5,Partidos
407,Joan Jordán,es ESP,CC,29-252,3.9,1,0,0,1,3,0,3,4,6,0.0,0.0,0,19.0,4.0,3.0,57.1,Partidos
408,Rafa Mir,es ESP,"DL,CC",26-270,4.3,1,0,0,9,5,3,2,1,2,0.0,0.0,0,12.0,12.0,19.0,38.7,Partidos
409,Marcão,br BRA,DF,27-283,3.4,2,0,0,4,6,0,0,3,5,0.0,0.0,0,17.0,5.0,3.0,62.5,Partidos
410,Mariano,do DOM,DL,30-226,2.4,1,0,0,6,1,3,1,0,1,1.0,0.0,0,7.0,9.0,9.0,50.0,Partidos
411,Tanguy Nianzou,fr FRA,DF,21-281,2.3,2,0,0,5,4,0,0,3,8,0.0,0.0,0,17.0,4.0,4.0,50.0,Partidos
412,Lucien Agoume,fr FRA,CC,22-034,1.7,1,0,0,2,0,0,1,2,3,0.0,0.0,0,13.0,3.0,1.0,75.0,Partidos
413,Hannibal Mejbri,tn TUN,CC,21-053,1.0,2,0,0,3,2,0,0,0,2,0.0,0.0,0,5.0,0.0,1.0,0.0,Partidos
414,Yassine Bounou,ma MAR,PO,32-344,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
415,Adnan Januzaj,be BEL,"DL,CC",29-038,2.1,0,0,0,3,9,0,8,1,3,0.0,0.0,0,9.0,3.0,1.0,75.0,Partidos
416,Diego Iturralde,es ESP,DF,20-333,0.4,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Partidos
417,Alejo Véliz,ar ARG,DL,20-177,0.3,0,0,0,2,1,0,0,0,0,0.0,0.0,0,0.0,2.0,1.0,66.7,Partidos
418,Manuel Sebastián,es ESP,CC,19-231,0.2,1,0,0,1,0,0,0,0,0,0.0,0.0,0,3.0,0.0,1.0,0.0,Partidos
419,Jesús Corona,mx MEX,"CC,DF",31-068,0.2,0,0,0,1,0,0,2,1,0,0.0,0.0,0,2.0,0.0,0.0,,Partidos
420,Federico Gattoni,ar ARG,"DF,DL",25-027,0.1,0,0,0,2,0,0,0,0,0,0.0,0.0,0,1.0,2.0,1.0,66.7,Partidos
421,Total del equipo,,,29.4,28.0,75,4,0,348,348,66,752,237,336,1.0,4.0,2,1447.0,457.0,397.0,53.5,
422,Total del oponente,,,27.9,28.0,60,2,1,365,324,42,491,177,260,1.0,1.0,2,1314.0,409.0,470.0,46.5,
423,Predrag Rajković,rs SRB,PO,28-135,28.0,2,0,0,0,3,0,0,0,1,0.0,0.0,0,29.0,4.0,1.0,80.0,Partidos
424,Dani Rodríguez,es ESP,CC,35-282,22.1,7,0,0,50,31,5,127,12,21,0.0,0.0,0,122.0,19.0,39.0,32.8,Partidos
425,Martin Valjent,sk SVK,DF,28-094,20.5,4,0,0,23,7,1,10,24,17,0.0,0.0,0,81.0,34.0,16.0,68.0,Partidos
426,Samu Costa,pt POR,CC,23-108,20.9,5,0,0,55,42,5,22,30,41,0.0,1.0,0,141.0,49.0,27.0,64.5,Partidos
427,Giovanni González,uy URU,DF,29-176,20.3,5,0,0,28,17,3,41,21,37,0.0,1.0,0,119.0,30.0,30.0,50.0,Partidos
428,Matija Nastasić,rs SRB,DF,30-352,19.1,7,0,0,20,7,2,3,22,12,0.0,0.0,0,74.0,28.0,22.0,56.0,Partidos
429,Vedat Muriqi,xk KVX,DL,29-325,17.7,2,0,0,28,28,22,5,5,5,0.0,0.0,0,49.0,112.0,88.0,56.0,Partidos
430,Antonio Sánchez,es ESP,CC,27-073,12.7,3,0,0,19,12,1,30,9,8,0.0,0.0,0,96.0,6.0,13.0,31.6,Partidos
431,Sergi Darder,es ESP,CC,30-083,18.1,4,0,0,15,29,1,105,15,21,0.0,0.0,0,106.0,7.0,10.0,41.2,Partidos
432,Antonio Raillo,es ESP,DF,32-158,15.4,3,1,1,16,8,1,1,19,15,0.0,0.0,0,69.0,78.0,41.0,65.5,Partidos
433,Cyle Larin,ca CAN,DL,28-332,15.5,6,0,0,22,25,26,4,2,7,0.0,1.0,0,31.0,68.0,77.0,46.9,Partidos
434,Jaume Costa,es ESP,DF,35-362,13.9,6,0,0,22,18,0,45,13,19,0.0,0.0,0,70.0,10.0,13.0,43.5,Partidos
435,Pablo Maffeo,es ESP,DF,26-246,12.5,3,1,0,19,16,4,51,8,15,0.0,0.0,0,66.0,24.0,17.0,58.5,Partidos
436,Toni Lato,es ESP,DF,26-114,12.9,3,0,0,14,16,2,39,11,19,1.0,0.0,0,62.0,6.0,15.0,28.6,Partidos
437,Manu Morlanes,es ESP,CC,25-062,12.7,2,0,0,12,17,0,12,11,20,0.0,0.0,0,90.0,16.0,13.0,55.2,Partidos
438,Omar Mascarell,es ESP,CC,31-041,11.7,6,1,1,25,10,0,2,23,13,0.0,0.0,0,67.0,26.0,19.0,57.8,Partidos
439,Copete,es ESP,DF,24-156,10.4,4,0,0,21,6,0,5,22,16,0.0,2.0,0,59.0,12.0,13.0,48.0,Partidos
440,Abdón Prats,es ESP,DL,31-098,10.4,4,0,0,15,13,3,7,2,3,0.0,0.0,0,24.0,30.0,46.0,39.5,Partidos
441,Siebe Van Der Heyden,be BEL,DF,25-289,3.2,2,1,0,8,1,1,0,7,2,0.0,0.0,0,10.0,8.0,6.0,57.1,Partidos
442,Amath,sn SEN,"DL,CC",27-242,4.4,2,0,0,10,7,4,7,3,6,1.0,0.0,0,21.0,6.0,5.0,54.5,Partidos
443,Nacho Vidal,es ESP,DF,29-050,1.9,1,0,0,4,2,0,10,2,1,0.0,0.0,0,7.0,4.0,2.0,66.7,Partidos
444,Nemanja Radonjić,rs SRB,CC,28-028,0.9,0,0,0,1,1,0,3,1,0,0.0,0.0,0,2.0,2.0,1.0,66.7,Partidos
445,Javier Llabrés,es ESP,"CC,DL",21-185,1.9,1,0,0,5,0,0,15,1,0,0.0,0.0,0,11.0,2.0,3.0,40.0,Partidos
446,Total del equipo,,,29.2,28.0,82,4,2,432,316,81,544,263,299,2.0,5.0,0,1406.0,581.0,517.0,52.9,
447,Total del oponente,,,27.6,28.0,44,1,0,336,412,29,512,225,217,3.0,3.0,0,1400.0,517.0,580.0,47.1,
448,Stole Dimitrievski,mk MKD,PO,30-080,28.0,2,0,0,0,3,0,0,0,1,0.0,0.0,0,26.0,5.0,1.0,83.3,Partidos
449,Florian Lejeune,fr FRA,DF,32-299,28.0,4,0,0,21,10,3,6,15,12,0.0,0.0,1,138.0,50.0,37.0,57.5,Partidos
450,Alfonso Espino,uy URU,DF,32-069,24.1,8,0,0,38,35,0,46,37,38,0.0,1.0,1,152.0,11.0,21.0,34.4,Partidos
451,Isaac Palazón Camacho,es ESP,"CC,DL",29-078,23.2,6,0,0,24,55,7,95,15,18,0.0,0.0,0,110.0,27.0,55.0,32.9,Partidos
452,Iván Balliu,al ALB,DF,32-073,24.0,4,0,0,26,26,8,53,24,21,0.0,0.0,0,103.0,25.0,22.0,53.2,Partidos
453,Óscar Valentín,es ESP,CC,29-207,23.0,4,1,1,53,31,0,4,25,45,0.0,0.0,0,126.0,28.0,41.0,40.6,Partidos
454,Álvaro García,es ESP,"DL,CC",31-139,21.9,8,1,1,22,19,21,94,28,19,1.0,0.0,0,82.0,12.0,21.0,36.4,Partidos
455,Unai López,es ESP,CC,28-136,16.9,5,0,0,44,17,1,49,9,16,0.0,0.0,0,130.0,8.0,11.0,42.1,Partidos
456,Aridane Hernández,es ESP,DF,34-357,17.8,3,0,0,11,12,0,0,13,8,0.0,1.0,0,81.0,33.0,17.0,66.0,Partidos
457,Raúl de Tomás,es ESP,DL,29-149,12.6,4,0,0,22,23,9,8,1,4,0.0,0.0,0,32.0,22.0,36.0,37.9,Partidos
458,Sergio Camello,es ESP,DL,23-033,12.5,2,0,0,14,8,2,1,1,4,0.0,0.0,0,38.0,6.0,32.0,15.8,Partidos
459,Óscar Trejo,ar ARG,"DL,CC",35-323,11.2,3,0,0,31,23,2,15,4,12,1.0,0.0,0,65.0,9.0,13.0,40.9,Partidos
460,Pathé Ciss,sn SEN,CC,29-364,13.4,6,0,0,18,22,2,3,23,13,0.0,0.0,0,95.0,39.0,31.0,55.7,Partidos
461,Abdul Mumin,gh GHA,DF,25-282,9.8,1,1,0,8,4,0,0,9,5,0.0,0.0,0,35.0,20.0,13.0,60.6,Partidos
462,Kike Pérez,es ESP,"CC,DL",27-029,9.1,7,0,0,42,32,0,17,8,11,0.0,0.0,0,54.0,10.0,25.0,28.6,Partidos
463,Jorge de Frutos,es ESP,"CC,DL",27-023,9.7,0,0,0,11,16,2,29,4,1,0.0,0.0,0,48.0,6.0,14.0,30.0,Partidos
464,Pep Chavarría,es ESP,"DF,CC",25-339,6.4,4,1,1,7,10,1,32,3,6,0.0,0.0,0,35.0,5.0,7.0,41.7,Partidos
465,Andrei Ratiu,ro ROU,DF,25-268,3.6,1,0,0,2,2,0,6,0,2,0.0,0.0,0,21.0,3.0,4.0,42.9,Partidos
466,Randy Ntekja,fr FRA,"DL,CC",26-099,5.2,2,0,0,12,13,4,1,2,1,1.0,0.0,0,19.0,22.0,20.0,52.4,Partidos
467,Crespo,pt POR,CC,27-185,2.6,3,0,0,11,11,0,2,6,6,0.0,0.0,0,11.0,4.0,1.0,80.0,Partidos
468,Radamel Falcao,co COL,"DL,DF",38-033,2.6,2,0,0,10,6,6,0,1,4,0.0,0.0,0,15.0,10.0,18.0,35.7,Partidos
469,Bebé,cv CPV,"CC,DL",33-246,1.6,1,0,0,0,1,3,19,0,2,0.0,0.0,0,10.0,1.0,3.0,25.0,Partidos
470,Salvi,es ESP,CC,32-350,0.3,0,0,0,0,1,0,0,1,0,0.0,0.0,0,1.0,0.0,0.0,,Partidos
471,José Pozo,es ESP,"CC,DL",27-365,0.1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
472,Diego Méndez,es ESP,CC,20-198,0.1,0,0,0,1,0,0,0,1,1,0.0,0.0,0,1.0,1.0,0.0,100.0,Partidos
473,Total del equipo,,,30.3,28.0,80,4,3,428,381,71,480,230,250,3.0,2.0,2,1428.0,357.0,443.0,44.6,
474,Total del oponente,,,27.7,28.0,78,7,3,411,405,67,536,208,307,0.0,6.0,0,1499.0,441.0,356.0,55.3,
475,Jørgen Strand Larsen,no NOR,DL,24-037,24.7,4,0,0,53,38,17,15,5,8,1.0,0.0,0,69.0,61.0,63.0,49.2,Partidos
476,Unai Núñez,es ESP,DF,27-044,27.5,4,0,0,30,23,0,0,47,23,1.0,0.0,0,185.0,79.0,52.0,60.3,Partidos
477,Óscar Mingueza,es ESP,"DF,CC",24-306,23.8,3,0,0,16,36,1,115,14,26,0.0,1.0,0,118.0,13.0,15.0,46.4,Partidos
478,Iago Aspas,es ESP,DL,36-226,20.9,5,1,0,13,40,7,124,8,4,0.0,0.0,0,69.0,5.0,23.0,17.9,Partidos
479,Luca de la Torre,us USA,CC,25-296,20.1,4,1,1,37,18,4,16,11,19,0.0,0.0,0,105.0,12.0,37.0,24.5,Partidos
480,Carl Starfelt,se SWE,DF,28-287,19.9,2,0,0,11,9,0,1,24,25,0.0,1.0,0,115.0,60.0,28.0,68.2,Partidos
481,Fran Beltrán,es ESP,CC,25-040,17.9,2,0,0,21,13,2,15,15,21,0.0,1.0,0,116.0,8.0,22.0,26.7,Partidos
482,Jonathan Bamba,ci CIV,"CC,DL",27-354,17.3,0,0,0,10,51,5,44,12,8,0.0,0.0,0,83.0,6.0,19.0,24.0,Partidos
483,Vicente Guaita,es ESP,PO,37-064,18.7,2,0,0,0,5,0,0,0,1,0.0,0.0,1,12.0,9.0,1.0,90.0,Partidos
484,Manu Sánchez,es ESP,DF,23-203,17.6,3,0,0,20,4,0,53,16,23,0.0,0.0,0,88.0,8.0,18.0,30.8,Partidos
485,Renato Tapia,pe PER,"CC,DF",28-230,13.6,5,1,1,22,25,1,7,17,25,0.0,0.0,0,102.0,39.0,32.0,54.9,Partidos
486,Carlos Dominguez,es ESP,DF,23-032,11.2,1,0,0,10,4,0,1,20,12,0.0,0.0,1,45.0,27.0,21.0,56.3,Partidos
487,Iván Villar,es ESP,PO,26-249,9.3,0,2,0,2,2,0,0,0,0,0.0,2.0,0,14.0,1.0,0.0,100.0,Partidos
488,Mihailo Ristić,rs SRB,"DF,CC",28-135,8.5,2,0,0,10,14,0,37,9,9,0.0,0.0,0,63.0,9.0,7.0,56.3,Partidos
489,Kevin Vázquez,es ESP,DF,30-357,7.0,3,0,0,9,9,0,8,4,13,0.0,1.0,0,29.0,10.0,8.0,55.6,Partidos
490,Carlos Dotor,es ESP,CC,22-365,7.7,2,0,0,14,10,0,9,4,7,0.0,0.0,0,47.0,5.0,8.0,38.5,Partidos
491,Anastasios Douvikas,gr GRE,DL,24-225,7.5,1,0,0,11,21,2,1,1,5,0.0,0.0,0,19.0,27.0,22.0,55.1,Partidos
492,Franco Cervi,ar ARG,"CC,DF",29-293,5.3,1,0,0,5,17,2,16,7,14,0.0,0.0,0,43.0,5.0,6.0,45.5,Partidos
493,Javier Manquillo,es ESP,"DF,CC",29-314,4.6,2,0,0,11,2,0,2,1,6,0.0,0.0,0,12.0,11.0,5.0,68.8,Partidos
494,Carles Pérez,es ESP,"CC,DL",26-027,4.9,1,0,0,15,8,1,12,4,3,0.0,0.0,0,21.0,2.0,7.0,22.2,Partidos
495,Joseph Aidoo,gh GHA,DF,28-167,4.5,0,0,0,4,0,0,0,4,3,0.0,0.0,0,22.0,14.0,9.0,60.9,Partidos
496,Hugo Sotelo,es ESP,CC,20-086,3.7,0,0,0,8,3,0,19,1,7,0.0,0.0,0,30.0,0.0,4.0,0.0,Partidos
497,Jailson Siqueira,br BRA,"CC,DF",28-189,3.4,1,0,0,7,7,0,1,8,5,0.0,0.0,0,26.0,5.0,13.0,27.8,Partidos
498,Tadeo Allende,ar ARG,"CC,DL",25-023,2.8,1,0,0,2,3,2,7,2,1,0.0,0.0,0,16.0,5.0,4.0,55.6,Partidos
499,Miguel Rodríguez,es ESP,CC,20-320,2.1,2,0,0,9,6,0,8,2,2,0.0,0.0,0,7.0,1.0,8.0,11.1,Partidos
500,Williot Swedberg,se SWE,"CC,DL",20-042,1.5,0,0,0,1,5,1,1,0,3,0.0,0.0,0,8.0,4.0,2.0,66.7,Partidos
501,Hugo Álvarez,es ESP,CC,20-256,0.4,0,0,0,0,0,0,3,1,1,0.0,0.0,0,7.0,0.0,1.0,0.0,Partidos
502,Gabriel Veiga,es ESP,DL,21-292,0.2,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,Partidos
503,Total del equipo,,,27.5,28.0,51,5,2,351,373,45,516,237,274,2.0,6.0,2,1471.0,426.0,436.0,49.4,
504,Total del oponente,,,27.8,28.0,75,3,1,382,336,40,594,262,260,5.0,3.0,1,1421.0,436.0,425.0,50.6,
505,Rubén Alcaraz,es ESP,CC,32-318,24.8,13,0,0,64,50,1,18,26,38,0.0,0.0,0,160.0,39.0,39.0,50.0,Partidos
506,Jeremías Ledesma,ar ARG,PO,31-030,24.9,0,0,0,1,4,0,0,0,0,0.0,0.0,0,37.0,5.0,2.0,71.4,Partidos
507,Isaac Carcelen,es ESP,DF,30-326,23.3,2,0,0,15,32,4,49,23,26,0.0,0.0,0,110.0,21.0,33.0,38.9,Partidos
508,Chris Ramos,es ESP,"DL,CC",27-056,22.0,2,0,0,48,40,8,10,8,12,1.0,0.0,0,50.0,133.0,131.0,50.4,Partidos
509,Fali,es ESP,DF,30-215,21.6,10,0,0,18,14,0,8,20,17,0.0,0.0,0,89.0,25.0,32.0,43.9,Partidos
510,Javi Hernández,es ESP,DF,25-317,19.5,5,0,0,29,10,0,84,10,13,0.0,0.0,0,106.0,23.0,21.0,52.3,Partidos
511,Iván Alejo,es ESP,CC,29-033,17.4,15,0,0,46,43,9,128,4,17,0.0,1.0,0,78.0,15.0,15.0,50.0,Partidos
512,Roberto Navarro,es ESP,CC,21-337,12.2,0,1,0,12,20,3,71,11,20,0.0,0.0,0,76.0,9.0,14.0,39.1,Partidos
513,Roger Martí,es ESP,DL,33-071,11.6,2,0,0,26,22,6,8,6,5,0.0,0.0,0,48.0,13.0,26.0,33.3,Partidos
514,Gonzalo Escalante,ar ARG,CC,30-353,13.7,1,1,0,26,11,2,4,19,18,0.0,0.0,0,71.0,23.0,22.0,51.1,Partidos
515,Víctor Chust,es ESP,DF,24-009,12.0,0,1,0,7,1,0,0,6,12,0.0,0.0,0,40.0,16.0,17.0,48.5,Partidos
516,Lucas,br BRA,DF,22-356,13.9,5,0,0,9,4,2,54,12,22,0.0,0.0,0,77.0,10.0,22.0,31.3,Partidos
517,Rubén Sobrino,es ESP,"CC,DL",31-287,12.3,7,1,0,30,26,5,17,11,21,0.0,0.0,0,87.0,18.0,14.0,56.3,Partidos
518,Maxi Gómez,uy URU,DL,27-213,10.6,2,0,0,16,24,12,18,2,3,0.0,0.0,0,14.0,55.0,52.0,51.4,Partidos
519,Darwin Machís,ve VEN,CC,31-036,8.3,0,1,0,12,13,2,58,3,13,0.0,0.0,0,51.0,3.0,9.0,25.0,Partidos
520,Álex Fernández,es ESP,"CC,DL",31-151,10.0,2,0,0,4,10,0,18,11,3,0.0,0.0,0,61.0,10.0,10.0,50.0,Partidos
521,Luis Hernández,es ESP,DF,34-335,8.0,4,0,0,8,0,0,2,8,3,0.0,0.0,0,24.0,9.0,2.0,81.8,Partidos
522,Jorge Meré,es ESP,DF,26-332,7.5,0,0,0,1,4,0,1,8,7,0.0,0.0,0,38.0,8.0,11.0,42.1,Partidos
523,Rominigue Kouamé,ml MLI,CC,27-088,7.6,2,0,0,11,9,1,1,13,8,0.0,0.0,0,53.0,14.0,8.0,63.6,Partidos
524,Juanmi,es ESP,DL,30-299,4.2,3,0,0,12,8,6,1,4,2,0.0,0.0,0,17.0,4.0,12.0,25.0,Partidos
525,Joseba Zaldúa,es ESP,"DF,CC",31-264,3.6,1,0,0,9,3,1,6,1,7,0.0,0.0,0,12.0,3.0,3.0,50.0,Partidos
526,David Gil,es ESP,PO,30-063,3.1,1,0,0,0,2,0,0,0,0,0.0,0.0,0,2.0,4.0,0.0,100.0,Partidos
527,Fede San Emeterio,es ESP,CC,26-364,1.7,1,1,0,8,3,0,1,2,2,0.0,0.0,0,5.0,3.0,4.0,42.9,Partidos
528,Mamadou Mbaye,sn SEN,DF,25-260,3.2,2,0,0,6,0,0,0,5,3,0.0,1.0,0,10.0,9.0,5.0,64.3,Partidos
529,Sergi Guardiola,es ESP,"DL,CC",32-290,4.1,1,0,0,14,16,3,12,0,4,0.0,0.0,0,21.0,5.0,9.0,35.7,Partidos
530,Aiham Ousou,sy SYR,DF,24-065,1.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0,2.0,1.0,1.0,50.0,Partidos
531,Brian Ocampo,uy URU,CC,24-263,1.5,1,0,0,6,8,0,7,1,1,0.0,0.0,0,17.0,1.0,3.0,25.0,Partidos
532,Álvaro Negredo,es ESP,"DL,CC",38-207,0.6,0,0,0,0,2,3,2,1,0,0.0,0.0,0,2.0,3.0,1.0,75.0,Partidos
533,Diadie Samassékou,ml MLI,CC,28-063,0.6,0,0,0,0,0,0,0,2,1,0.0,0.0,0,4.0,3.0,1.0,75.0,Partidos
534,Karl Etta,cm CMR,DL,20-073,0.2,0,0,0,1,0,1,0,0,1,0.0,0.0,0,0.0,0.0,1.0,0.0,Partidos
535,José Mari,es ESP,"CC,DL",36-099,0.2,1,0,0,1,1,0,0,0,1,0.0,0.0,0,3.0,0.0,0.0,,Partidos
536,Milutin Osmajić,me MNE,CC,24-233,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,Partidos
537,Moussa Diakité,ml MLI,CC,20-131,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Partidos
